"","Song","Artist"
"1","Are you with me","Lost Frequencies"
"2","Lean on","Major Lazer;DJ Snake;MØ"
"3","Heroes","Måns Zelmerlöw"
"4","Five more hours","Chris Brown;Deorro"
"5","Él no te da","Dasoul"
"6","Shut up and dance","Walk the Moon"
"7","I really like you","Carly Rae Jepsen"
"8","Hold my hand","Jess Glynne"
"9","Cuando me siento bien","Efecto Pasillo"
"10","Hey mama (Extended mix)","David Guetta;Afrojack;Bebe Rexha;Nicki Minaj"
"11","Want to want me","Jason Derülo"
"12","Like I can","Sam Smith"
"13","Come and get it","John Newman"
"14","King","Years & Years"
"15","Cheerleader","OMI;Felix Jaehn"
"16","Hoy será","Antonio Orozco"
"17","See you again","Wiz Khalifa;Charlie Puth"
"18","El perdón","Nicky Jam;Enrique Iglesias"
"19","Kill me (And make it quick)","Amelie"
"20","Good to be bad (Miedo a querer)","Paula Rojo"
"21","Firestone","Kygo;Conrad"
"22","Volar","Macaco"
"23","Walk","Kwabs"
"24","Don't worry","Madcon;Ray Dalton"
"25","Hey babe!","Calum"
"26","Bills","LunchMoney Lewis"
"27","No pide tanto, idiota","Maldita Nerea"
"28","Won't stop","Electric Nana"
"29","Lifetime","Alexander Som;Carlos Jean"
"30","Recuérdame (Versión 2015)","Pablo Alborán"
"31","Cadillac","Mario Jefferson"
"32","La gozadera","Gente de Zona;Marc Anthony"
"33","Sugar","Maroon 5"
"34","A que no me dejas","Alejandro Sanz"
"35","Mi verdad","Maná;Shakira"
"36","Talk about you","Mika"
"37","God invented fridays","Luis López;Madison Kiss"
"38","Vuelve","Juan Magán;DCS;Paulina Rubio"
"39","Mi nuevo vicio","Paulina Rubio;Morat"
"40","Style","Taylor Swift"
