"","Song","Artist"
"1","Ella elle l'a","Kate Ryan"
"2","Beautiful girls","Sean Kingston"
"3","¡Eres tonto!","El Canto del Loco"
"4","Mercy","Duffy"
"5","About you now","Sugababes"
"6","No estamos solos","Eros Ramazzotti;Ricky Martin"
"7","Bleeding love","Leona Lewis"
"8","Puede ser","Conchita"
"9","Kamikaze","Amaral"
"10","Apologize","OneRepublic"
"11","Cuerpo triste","Estopa"
"12","Pretendo hablarte","Beatriz Luengo"
"13","Gotas de agua dulce","Juanes"
"14","Back to black","Amy Winehouse"
"15","Si no te hubieras ido","Maná"
"16","El último vals","La Oreja de Van Gogh"
"17","Violet hill","Coldplay"
"18","Just hold me","Maria Mena"
"19","Rise up","Yves Larock"
"20","Hacer por hacer","Miguel Bosé;Gloria Gaynor"
"21","Quiero un camino","Taxi;Álvaro Urquijo"
"22","S.O.S.","Jonas Brothers"
"23","Superwoman","Alicia Keys"
"24","Esto es lo que soy","Jesse & Joy"
"25","No dudaría","Rosario"
"26","Hate that I love you","Rihanna;David Bisbal"
"27","Una especie en extinción","Banghra"
"28","Love song","Sara Bareilles"
"29","4 minutes","Madonna;Justin Timberlake;Timbaland"
"30","Estrella polar","Pereza;Juan Aguirre"
"31","I'll be waiting","Lenny Kravitz"
"32","No estés triste","Manolo García"
"33","Retales de una vida","Celtas Cortos"
"34","Nada más","Ragdog"
"35","Bella traición","Belinda"
"36","In my arms","Kylie Minogue"
"37","Que el tiempo no te cambie (V. 2008)","Tequila"
"38","Say it right","Nelly Furtado"
"39","Roto por dentro","M-Clan"
"40","Don't stop the music","Rihanna"
