"","Song","Artist"
"1","Señorita","Camila Cabello;Shawn Mendes"
"2","Sucker","Jonas Brothers"
"3","Someone you loved","Lewis Capaldi;Madism"
"4","Con calma","Daddy Yankee;Snow"
"5","Contando lunares","Don Patricio;Cruz Cafuné"
"6","Don't call me up","Mabel"
"7","Bad guy","Billie Eilish"
"8","Vuela (Beach pop)","Bombai"
"9","Qué bonito es querer","Manuel Carrasco"
"10","I don't care","Ed Sheeran;Justin Bieber"
"11","So am I","Ava Max"
"12","Bésame","David Bisbal;Juan Magán"
"13","Yo x ti tú x mí","Ozuna;Rosalía"
"14","Let me down slowly","Alec Benjamin;Alessia Cara"
"15","Disparos","Dani Fernández"
"16","Old town road","Lil Nas X;Billy Ray Cyrus"
"17","Calma (Alicia remix)","Alicia Keys;Farruko;Pedro Capó"
"18","Nada sale mal","Aitana"
"19","Índios y vaqueros","Sinsinati"
"20","Mares igual que tú","Amaral"
"21","Superpoderes","Leiva"
"22","Atrévete","Nicky Jam;Sech"
"23","Stay (Don't go away)","David Guetta;Raye"
"24","Beautiful people","Ed Sheeran;Khalid"
"25","Late","Pol Granch"
"26","Soldi","Mahmood;Maikel Delacalle"
"27","Si te vas","Blas Cantó"
"28","Get to know me","Anitta;Alesso"
"29","China","Anuel AA;Daddy Yankee;J Balvin;Karol G;Ozuna"
"30","Maldición","Lalo Ebratt;Lola Índigo"
"31","Don't worry bout me","Zara Larsson"
"32","Dímelo","Melendi;Andy Clay"
"33","Fading","Alle Farben;ILIRA"
"34","Lo quiero todo","Macaco"
"35","De la Tierra hasta Marte","Alfred García"
"36","Higher love","Kygo;Whitney Houston"
"37","Presiento","Aitana;Morat"
"38","Dancing with a stranger","Sam Smith;Normani"
"39","Te echo de menos","Beret"
"40","De tus ojos","Vanesa Martín;Carlos Jean"
