"","Song","Artist"
"1","People help the people","Birdy"
"2","Tocado y hundido","Melendi"
"3","Stay with me","Sam Smith"
"4","Dangerous","David Guetta;Sam Martin"
"5","Chandelier","Sia"
"6","All about that bass","Meghan Trainor"
"7","Wrapped up","Olly Murs;Travie McCoy"
"8","The days","Avicii"
"9","Riptide","Vance Joy"
"10","Cool kids","Echosmith"
"11","Por fin","Pablo Alborán"
"12","Geronimo","Sheppard"
"13","Break free","Ariana Grande;Zedd"
"14","I bet my life","Imagine Dragons"
"15","Saturday I'm in love","Auryn"
"16","Habits (Stay high)","Tove Lo;Hippie Sabotage"
"17","Animals","Maroon 5"
"18","Don't","Ed Sheeran"
"19","Steal my girl","One Direction"
"20","Fade out lines","The Avener"
"21","Oh Cecilia (Breaking my heart)","The Vamps;Shawn Mendes"
"22","Desaparecer","Malú"
"23","Changing","Sigma;Paloma Faith"
"24","Thinking out loud","Ed Sheeran"
"25","Where did you go?","Midnight Red"
"26","Shake it off","Taylor Swift"
"27","Sun goes down","Robin Schulz;Jasmine Thompson"
"28","Blame","Calvin Harris;John Newman"
"29","Entre la espada y la pared","Fito & Fitipaldis"
"30","Liar liar","Cris Cab"
"31","Sí pero no","David Bisbal"
"32","Los cantantes","Leiva"
"33","Lips are movin","Meghan Trainor"
"34","Perdona si te llamo amor","Maldita Nerea"
"35","Blank space","Taylor Swift"
"36","Outside","Calvin Harris;Ellie Goulding"
"37","Girls in luv","DJane Housekat;Rameez"
"38","Fireball","Pitbull;John Ryan"
"39","Something big","Shawn Mendes"
"40","Shower","Becky G"
