"","Song","Artist"
"1","Perfect","Ed Sheeran"
"2","Dusk till dawn","Zayn Malik;Sia"
"3","Havana","Camila Cabello;Young Thug"
"4","Échame la culpa","Luis Fonsi;Demi Lovato"
"5","Perro fiel","Shakira;Nicky Jam"
"6","New rules","Dua Lipa"
"7","Too good at goodbyes","Sam Smith"
"8","What lovers do","Maroon 5;SZA"
"9","Invisible","Malú"
"10","Wolves","Selena Gomez;marshmello"
"11","How long","Charlie Puth"
"12","Stargazing","Kygo;Justin Jesso"
"13","No vaya a ser","Pablo Alborán"
"14","Feel it still","Portugal. The Man"
"15","Silence","marshmello;Khalid"
"16","Hábito de ti","Vanesa Martín"
"17","You're the best thing about me","U2"
"18","Saturno","Pablo Alborán"
"19","Rockstar","Post Malone;21 Savage"
"20","Tu mejor pesadilla","Sidecars"
"21","Walk on water","Thirty Seconds to Mars"
"22","Besos en guerra","Morat;Juanes"
"23","Tip toe","Jason Derülo;French Montana"
"24","La llamada","Leiva"
"25","Rain","The Script"
"26","Anywhere","Rita Ora"
"27","Good girls don't lie","Ruth Lorenzo"
"28","La actitud correcta","Bunbury"
"29","Santa's coming for us","Sia"
"30","Mentira","Ana Mena;RK"
"31","Bedroom floor","Liam Payne"
"32","El patio","Pablo López"
"33","Imparables","Bombai"
"34","Look what you made me do","Taylor Swift"
"35","All falls down","Alan Walker;Digital Farm Animals;Noah Cyrus"
"36","Mi gente","J Balvin;Willy William"
"37","What about us","P!nk"
"38","Drunk and irresponsible","Blas Cantó"
"39","Ok","Robin Schulz;James Blunt"
"40","Feels","Calvin Harris;Big Sean;Katy Perry;Pharrell Williams"
