"","Song","Artist"
"1","Light it up","Major Lazer;Fuse ODG;NYLA"
"2","Lush life","Zara Larsson"
"3","Love yourself","Justin Bieber"
"4","Sax","Fleur East"
"5","Work","Rihanna;Drake"
"6","Hotline bling","Drake"
"7","Pillowtalk","Zayn Malik"
"8","Bang my head","David Guetta;Fetty Wap;Sia"
"9","When we were young","Adele"
"10","Catch & release","Matt Simons;Deepend"
"11","Ex's & Oh's","Elle King"
"12","Hymn for the weekend","Coldplay;Beyoncé"
"13","Stitches","Shawn Mendes"
"14","Here","Alessia Cara"
"15","Faded","Alan Walker;Iselin Solheim"
"16","Keeping your head up","Birdy"
"17","Stressed out","Twenty One Pilots"
"18","You don't own me","Grace;G-Eazy"
"19","Easy love","Sigala"
"20","Renegades","X Ambassadors"
"21","Something in the way you move","Ellie Goulding"
"22","7 Years","Lukas Graham"
"23","Here for you","Kygo;Ella Henderson"
"24","The girl is mine","99 Souls;Brandy;Destiny's Child"
"25","Sorry","Justin Bieber"
"26","Fast car","Jonas Blue;Dakota"
"27","Hundred miles","YALL;Gabriela Richardson"
"28","Tu enemigo","Pablo López;Juanes"
"29","Adore","Jasmine Thompson"
"30","Gafas de rosa","Estopa"
"31","The hills","The Weeknd"
"32","Adventure of a lifetime","Coldplay"
"33","What do you mean?","Justin Bieber"
"34","Sugar","Robin Schulz;Francesco Yates"
"35","Who's loving you","Auryn;Anastacia"
"36","Si me porto mal","Dasoul"
"37","Runnin' (Lose it all)","Naughty Boy;Arrow Benjamin;Beyoncé"
"38","Ya no","Manuel Carrasco"
"39","Hello","Adele"
"40","Down with ya","Sweet California;Madcon"
