"","Song","Artist"
"1","Waves","Mr. Probz;Robin Schulz"
"2","Problem","Ariana Grande;Iggy Azalea"
"3","Lovers on the sun","David Guetta;Sam Martin"
"4","Am I wrong","Nico & Vinz"
"5","A sky full of stars","Coldplay"
"6","Wiggle","Jason Derülo;Snoop Dogg"
"7","Wasted","Tiësto;Matthew Koma"
"8","Summer","Calvin Harris"
"9","Stolen dance","Milky Chance"
"10","Puppeteer","Auryn"
"11","Love runs out","OneRepublic"
"12","Bailando (English version)","Enrique Iglesias;Descemer Bueno;Gente de Zona;Sean Paul"
"13","Rude","MAGIC!"
"14","Ghost","Ella Henderson"
"15","All of me","John Legend"
"16","Light me up (U.S. version)","Birdy"
"17","Me and my broken heart","Rixton"
"18","Million miles","Kylie Minogue"
"19","I will never let you down","Rita Ora"
"20","Mira dentro","Maldita Nerea"
"21","Cola song","Inna;J Balvin"
"22","Deshazte de mi","Malú"
"23","Wasting your time","Carlos Jean"
"24","Take me home","Midnight Red"
"25","Maps","Maroon 5"
"26","Birthday","Katy Perry"
"27","Come over","Clean Bandit;Stylo G"
"28","Chandelier","Sia"
"29","Shake it off","Taylor Swift"
"30","Human","Christina Perri"
"31","Don't stop","5SOS"
"32","No amanece","David Bisbal"
"33","Always on my mind","Adelén"
"34","Prayer in C","Robin Schulz;Lilly Wood & The Prick;Robin Schulz"
"35","Lipstick","Sophia del Carmen"
"36","Bad girl","Lucy Paradise"
"37","Mi teatro","Dani Martín"
"38","This is the life","Sweet California"
"39","Paraíso","Dvicio"
"40","Por Reyes","Mr. Kilombo"
