"","Song","Artist"
"1","Someone you loved","Lewis Capaldi;Madism"
"2","Yo x ti tú x mí","Ozuna;Rosalía"
"3","Qué bonito es querer","Manuel Carrasco"
"4","Señorita","Camila Cabello;Shawn Mendes"
"5","Old town road","Lil Nas X;Billy Ray Cyrus"
"6","So am I","Ava Max"
"7","Vuela (Beach pop)","Bombai"
"8","Don't call me up","Mabel"
"9","Índios y vaqueros","Sinsinati"
"10","Bad guy","Billie Eilish"
"11","Beautiful people","Ed Sheeran;Khalid"
"12","Atrévete","Nicky Jam;Sech"
"13","Only human","Jonas Brothers"
"14","Superpoderes","Leiva"
"15","Contando lunares","Don Patricio;Cruz Cafuné"
"16","China","Anuel AA;Daddy Yankee;J Balvin;Karol G;Ozuna"
"17","Liar","Camila Cabello"
"18","Sucker","Jonas Brothers"
"19","Con calma","Daddy Yankee;Snow"
"20","Disparos","Dani Fernández"
"21","Let me down slowly","Alec Benjamin;Alessia Cara"
"22","Get to know me","Anitta;Alesso"
"23","Si te vas","Blas Cantó"
"24","Dance monkey","Tones and I"
"25","Me quedo",NA
"26","Mares igual que tú","Amaral"
"27","Dímelo","Melendi;Andy Clay"
"28","I don't care","Ed Sheeran;Justin Bieber"
"29","Indeciso","J Balvin;Lalo Ebratt;Reik"
"30","You need to calm down","Taylor Swift"
"31","Lo quiero todo","Macaco"
"32","Bésame","David Bisbal;Juan Magán"
"33","Stay (Don't go away)","David Guetta;Raye"
"34","Circles","Post Malone"
"35","De tus ojos","Vanesa Martín;Carlos Jean"
"36","Higher love","Kygo;Whitney Houston"
"37","Calma (Alicia remix)","Alicia Keys;Farruko;Pedro Capó"
"38","Presiento","Aitana;Morat"
"39","Soldi","Mahmood;Maikel Delacalle"
"40","Don't worry bout me","Zara Larsson"
