"","Song","Artist"
"1","Tú mirada me hace grande","Maldita Nerea"
"2","Tonight (I'm lovin' you)","Enrique Iglesias;DJ Frank E;Ludacris"
"3","Blanco y negro","Malú"
"4","Who's that chick?","David Guetta;Rihanna"
"5","Firework","Katy Perry"
"6","Born this way","Lady GaGa"
"7","Hold my hand","Michael Jackson;Akon"
"8","Cuatro elementos","La Musicalité;El Sueño de Morfeo"
"9","The time (Dirty bit)","The Black Eyed Peas"
"10","Grenade","Bruno Mars"
"11","Mira la vida","Dani Martín"
"12","Love the way you lie","Eminem;Rihanna"
"13","Buscando el sol","El Pescao"
"14","Hold it against me","Britney Spears"
"15","Sale el sol","Shakira"
"16","Barbra Streisand","Duck Sauce"
"17","Only girl (In the world)","Rihanna"
"18","Lo que no ves","POL 3.14"
"19","Higher","Taio Cruz;Kylie Minogue"
"20","Solamente tú","Pablo Alborán"
"21","Lead the way","Carlos Jean;Electric Nana"
"22","Barbie de extrarradio","Melendi"
"23","Puerto presente","Macaco;Fito Cabrales"
"24","More","Usher;Jimmy Joker;RedOne"
"25","Lo mejor de mi vida eres tú","Ricky Martin;Natalia Jiménez"
"26","On the floor","Jennifer López;Pitbull"
"27","Stay the night","James Blunt"
"28","Mr. Saxobeat","Alexandra Stan"
"29","Y mírame","Despistaos;Jorge Ruiz"
"30","Turn around (5, 4, 3, 2, 1)","Flo Rida"
"31","View","The Monomes"
"32","Perdida","Nena Daconte"
"33","Quiero","Pignoise"
"34","Canción de amor caducada","Melendi"
"35","Dynamite","Taio Cruz"
"36","Me acordé de ti","Fito & Fitipaldis"
"37","Just the way you are","Bruno Mars"
"38","We r who we r","Ke$ha"
"39","Get outta my way","Kylie Minogue"
"40","Club can't handle me","Flo Rida;David Guetta"
