"","Song","Artist"
"1","Viva la vida","Coldplay"
"2","I kissed a girl","Katy Perry"
"3","Quiero ser","Amaia Montero"
"4","Hemicraneal","Estopa"
"5","If I were a boy","Beyoncé"
"6","Tenía tanto que darte","Nena Daconte"
"7","Peter Pan","El Canto del Loco"
"8","Odio por amor","Juanes"
"9","Better in time","Leona Lewis"
"10","Inmortal","La Oreja de Van Gogh"
"11","Un violinista en tu tejado","Melendi"
"12","The man who can't be moved","The Script"
"13","Por mi tripa","Pereza"
"14","Stop and stare","OneRepublic"
"15","Tarde de domingo rara","Amaral"
"16","No dudaría","Rosario"
"17","Quiero un camino","Taxi;Álvaro Urquijo"
"18","Greatest day","Take That"
"19","Te esperaré","Calle París"
"20","Superwoman","Alicia Keys"
"21","Sígueme","Manuel Carrasco"
"22","Rain on your parade","Duffy"
"23","Disturbia","Rihanna"
"24","Beggin","Madcon"
"25","Walking away","Craig David;Álex Ubago"
"26","I can feel you","Anastacia;Mousse T."
"27","Física o química","Despistaos"
"28","Womanizer","Britney Spears"
"29","Pretendo hablarte","Beatriz Luengo"
"30","Human","The Killers"
"31","Tiempo pequeño","Revólver"
"32","The lovers are losing","Keane"
"33","Retales de una vida","Celtas Cortos"
"34","Back to black","Amy Winehouse"
"35","Me gustas cuando","Lucas Masciano;El Canto del Loco"
"36","Lo que quiero, lo que soy","Sr. Trepador"
"37","Sube a mi cohete","Pignoise"
"38","Give it 2 me","Madonna"
"39","Diary of a smoker","The Monomes"
"40","I'll be waiting","Lenny Kravitz"
