"","Song","Artist"
"1","No vaya a ser","Pablo Alborán"
"2","Mi gente","J Balvin;Willy William"
"3","Ok","Robin Schulz;James Blunt"
"4","Galway girl","Ed Sheeran"
"5","Friends","Justin Bieber;BloodPop"
"6","Me rehúso","Danny Ocean"
"7","Breaking bad","Leiva"
"8","What about us","P!nk"
"9","Look what you made me do","Taylor Swift"
"10","Yo contigo, tú conmigo (The gong gong song)","Morat;Álvaro Soler"
"11","Feels","Calvin Harris;Big Sean;Katy Perry;Pharrell Williams"
"12","Saturno","Pablo Alborán"
"13","Attention","Charlie Puth"
"14","Too good at goodbyes","Sam Smith"
"15","Wild thoughts","DJ Khaled;Bryson Tiller;Rihanna"
"16","Unforgettable","French Montana;Swae Lee"
"17","Versace on the floor","Bruno Mars;David Guetta"
"18","Mama","Jonas Blue;William Singe"
"19","Miracles (Someone special)","Big Sean;Coldplay"
"20","Invisible","Malú"
"21","New rules","Dua Lipa"
"22","Perro fiel","Shakira;Nicky Jam"
"23","2U","David Guetta;Justin Bieber"
"24","You're the best thing about me","U2"
"25","Toc toc","Macaco"
"26","Feel it still","Portugal. The Man"
"27","Solo si es contigo","Bombai;Bebe"
"28","Stargazing","Kygo;Justin Jesso"
"29","Bailarina","Maldita Nerea"
"30","Drunk and irresponsible","Blas Cantó"
"31","Hula hoop 8000","Monarchy"
"32","Todo es posible","David Bisbal;Tini"
"33","Havana","Camila Cabello;Young Thug"
"34","Despacito","Luis Fonsi;Daddy Yankee"
"35","How we dream","Maico"
"36","Loco de amor",NA
"37","Issues","Julia Michaels"
"38","Dancing on Mars","Carlos Jean;Bamboe"
"39","Walk on water","Thirty Seconds to Mars"
"40","Carita de buena","Efecto Pasillo"
