"","Song","Artist"
"1","Ella elle l'a","Kate Ryan"
"2","El último vals","La Oreja de Van Gogh"
"3","About you now","Sugababes"
"4","Mercy","Duffy"
"5","Cuerpo triste","Estopa"
"6","Back to black","Amy Winehouse"
"7","No dudaría","Rosario"
"8","Rise up","Yves Larock"
"9","¡Eres tonto!","El Canto del Loco"
"10","Beautiful girls","Sean Kingston"
"11","4 minutes","Madonna;Justin Timberlake;Timbaland"
"12","Pretendo hablarte","Beatriz Luengo"
"13","Quiero un camino","Taxi;Álvaro Urquijo"
"14","Bleeding love","Leona Lewis"
"15","Puede ser","Conchita"
"16","S.O.S.","Jonas Brothers"
"17","No estamos solos","Eros Ramazzotti;Ricky Martin"
"18","Esto es lo que soy","Jesse & Joy"
"19","Hate that I love you","Rihanna;David Bisbal"
"20","Un violinista en tu tejado","Melendi"
"21","Apologize","OneRepublic"
"22","Peter Pan","El Canto del Loco"
"23","Retales de una vida","Celtas Cortos"
"24","Just hold me","Maria Mena"
"25","When I grow up","The Pussycat Dolls"
"26","Tenía tanto que darte","Nena Daconte"
"27","Tarde de domingo rara","Amaral"
"28","Si no te hubieras ido","Maná"
"29","I kissed a girl","Katy Perry"
"30","Hacer por hacer","Miguel Bosé;Gloria Gaynor"
"31","Stop and stare","OneRepublic"
"32","The man who can't be moved","The Script"
"33","Superwoman","Alicia Keys"
"34","Lo que quiero, lo que soy","Sr. Trepador"
"35","Violet hill","Coldplay"
"36","I'll be waiting","Lenny Kravitz"
"37","Kamikaze","Amaral"
"38","Love song","Sara Bareilles"
"39","In my arms","Kylie Minogue"
"40","Estrella polar","Pereza;Juan Aguirre"
