"","Song","Artist"
"1","We are never ever getting back together","Taylor Swift"
"2","Gangnam style","PSY"
"3","Tanto","Pablo Alborán"
"4","Girl on fire","Alicia Keys"
"5","Locked out of heaven","Bruno Mars"
"6","Diamonds","Rihanna"
"7","One more night","Maroon 5"
"8","Die young","Ke$ha"
"9","Don't stop the party","Pitbull;TJR"
"10","This is love","Will.I.Am;Eva Simons"
"11","Mi marciana","Alejandro Sanz"
"12","La respuesta no es la huida","Maldita Nerea"
"13","Hall of fame","The Script;Will.I.Am"
"14","Little talks","Of Monsters and Men"
"15","Set fire to the rain","Adele"
"16","Don't you worry child","Swedish House Mafia;John Martin"
"17","Candy","Robbie Williams"
"18","Culpable","Lagarto Amarillo"
"19","Wide awake","Katy Perry"
"20","Empanados","Estopa"
"21","Te voy a esperar","Juan Magán;Belinda"
"22","Don't give up my game","Auryn"
"23","Lágrimas desordenadas","Melendi"
"24","Numb","Usher"
"25","Finally found you","Enrique Iglesias;Sammy Adams"
"26","Live while we're young","One Direction"
"27","Just one last time","David Guetta;Taped Rai"
"28","No importa que llueva","Efecto Pasillo"
"29","Try","P!nk"
"30","Whistle","Flo Rida"
"31","Call me maybe","Carly Rae Jepsen"
"32","Noche de estrellas","Jose de Rico & Henry Méndez;Jay Santos"
"33","Scream & shout","Will.I.Am;Britney Spears"
"34","Brindo por ti","Macaco"
"35","Celebrating life","Xuso Jones"
"36","Feel so close","Calvin Harris"
"37","Lo que pueda ser","La Musicalité"
"38","Troublemaker","Olly Murs;Flo Rida"
"39","Don't wake me up","Chris Brown"
"40","My heart is refusing me","Loreen"
