"","Song","Artist"
"1","Te he echado de menos","Pablo Alborán"
"2","Yo te esperaré","Cali y Dandee"
"3","Stronger (What doesn't kill you)","Kelly Clarkson"
"4","She doesn't mind","Sean Paul"
"5","Someone like you","Adele"
"6","The one that got away","Katy Perry"
"7","Breathing","Jason Derülo"
"8","Boys will be boys","Paulina Rubio"
"9","Wild ones","Flo Rida;Sia"
"10","International love","Pitbull;Chris Brown"
"11","Me quedaré","Estopa"
"12","Sexy and I know it","LMFAO"
"13","Stereo hearts","Gym Class Heroes;Adam Levine"
"14","Dejarse la piel","Lagarto Amarillo"
"15","Twilight","Cover Drive"
"16","Domino","Jessie J"
"17","Levels","Avicii;Etta James"
"18","Next to me","Emeli Sandé"
"19","The A Team","Ed Sheeran"
"20","1.000.000","Alexandra Stan;Carlprit"
"21","Cometas por el cielo","La Oreja de Van Gogh"
"22","Mama luba","Serebro"
"23","Rayos de sol","Jose de Rico & Henry Méndez"
"24","Buy the Dj a round","Xuso Jones;Flii Stylz"
"25","Rara","Georgina"
"26","Titanium","David Guetta;Sia"
"27","Somebody that I used to know","Gotye;Kimbra"
"28","Love is the only way","Macaco"
"29","Give me all your luvin'","Madonna;M.I.A.;Nicki Minaj"
"30","Silenced by the night","Keane"
"31","Tengo tu love","Sie7e"
"32","Princess of China","Coldplay;Rihanna"
"33","Me pones tierno","Rasel;Carlos Baute"
"34","In your head","Mohombi"
"35","Dance again","Jennifer López;Pitbull"
"36","Criminal","Britney Spears"
"37","Hangover","Taio Cruz;Flo Rida"
"38","Los días contados","Despistaos"
"39","Llueve","Melendi"
"40","Without you","David Guetta;Usher"
