"","Song","Artist"
"1","Am I wrong","Nico & Vinz"
"2","Summer","Calvin Harris"
"3","Bailando (English version)","Enrique Iglesias;Descemer Bueno;Gente de Zona;Sean Paul"
"4","Problem","Ariana Grande;Iggy Azalea"
"5","Wasted","Tiësto;Matthew Koma"
"6","Waves","Mr. Probz;Robin Schulz"
"7","Stolen dance","Milky Chance"
"8","A sky full of stars","Coldplay"
"9","Cola song","Inna;J Balvin"
"10","All of me","John Legend"
"11","Wiggle","Jason Derülo;Snoop Dogg"
"12","Love runs out","OneRepublic"
"13","Lovers on the sun","David Guetta;Sam Martin"
"14","Ghost","Ella Henderson"
"15","I will never let you down","Rita Ora"
"16","Birthday","Katy Perry"
"17","Me and my broken heart","Rixton"
"18","Puppeteer","Auryn"
"19","Human","Christina Perri"
"20","No amanece","David Bisbal"
"21","Light me up (U.S. version)","Birdy"
"22","This is the life","Sweet California"
"23","Falling in love (English version)","Juan Magán;Zion & Lennox"
"24","Million miles","Kylie Minogue"
"25","Mira dentro","Maldita Nerea"
"26","Paraíso","Dvicio"
"27","Deshazte de mi","Malú"
"28","Lipstick","Sophia del Carmen"
"29","Wasting your time","Carlos Jean"
"30","Rude","MAGIC!"
"31","Por Reyes","Mr. Kilombo"
"32","Take me home","Midnight Red"
"33","Come over","Clean Bandit;Stylo G"
"34","M.U.S.I.C.","María Sagana"
"35","We are one (Ole ola)","Pitbull;Claudia Leitte;Jennifer López"
"36","Somebody to you","The Vamps;Demi Lovato"
"37","Always on my mind","Adelén"
"38","Mmm yeah","Austin Mahone;Pitbull"
"39","Mirada perdida","Leiva"
"40","Chandelier","Sia"
