"","Song","Artist"
"1","Cuando nadie ve","Morat"
"2","Lo siento","Beret"
"3","Ya no quiero ná","Lola Índigo"
"4","Perdón","David Bisbal;Greeicy"
"5","Promises","Calvin Harris;Sam Smith"
"6","Kiss and make up","Dua Lipa;Black Pink"
"7","Girls like you","Maroon 5;Cardi B"
"8","Shotgun","George Ezra"
"9","Qué tienes tú","Dvicio;Jesús Navarro;Mau y Ricky"
"10","Thank u, next","Ariana Grande"
"11","Happier","marshmello;Bastille"
"12","2002","Anne-Marie"
"13","Nothing breaks like a heart","Mark Ronson;Miley Cyrus"
"14","Electricity","Dua Lipa;Silk City"
"15","In my mind","Dynoro;Gigi D'Agostino"
"16","Vas a quedarte","Aitana"
"17","Tu refugio (Nueva versión)","Pablo Alborán"
"18","Loca","Sweet California"
"19","Taki taki","DJ Snake;Cardi B;Ozuna;Selena Gomez"
"20","Fuego","Eleni Foureira"
"21","Don't leave me alone","David Guetta;Anne-Marie"
"22","Malamente (Cap. 1 Augurio)","Rosalía"
"23","No te preocupes por mí","Leiva"
"24","Blow that smoke","Major Lazer;Tove Lo"
"25","I'm a mess","Bebe Rexha"
"26","Angels","Tom Walker"
"27","Él no soy yo","Blas Cantó"
"28","No tengo nada","Alejandro Sanz"
"29","Love someone","Lukas Graham"
"30","Déjame ser","Manuel Carrasco"
"31","Happier","Ed Sheeran"
"32","Inventas","Vanesa Martín"
"33","Let you love me","Rita Ora"
"34","Sweet but psycho",NA
"35","Bajito","Ana Guerra"
"36","Amasijo de huesos","Sidecars"
"37","One kiss","Calvin Harris;Dua Lipa"
"38","Solo","Clean Bandit;Demi Lovato"
"39","Déjala que baile","Melendi;Alejandro Sanz;Arkano"
"40","Flames","David Guetta;Sia"
