"","Song","Artist"
"1","Don't worry","Madcon;Ray Dalton"
"2","La gozadera","Gente de Zona;Marc Anthony"
"3","Shut up and dance","Walk the Moon"
"4","I don't like it, I love it","Flo Rida;Robin Thicke;Verdine White"
"5","Hey mama (Extended mix)","David Guetta;Afrojack;Bebe Rexha;Nicki Minaj"
"6","Come and get it","John Newman"
"7","Lean on","Major Lazer;DJ Snake;MØ"
"8","Cheerleader","OMI;Felix Jaehn"
"9","Stole the show","Kygo;Parson James"
"10","I really like you","Carly Rae Jepsen"
"11","Cuando me siento bien","Efecto Pasillo"
"12","Like I can","Sam Smith"
"13","Are you with me","Lost Frequencies"
"14","Five more hours","Chris Brown;Deorro"
"15","Hoy será","Antonio Orozco"
"16","Heroes","Måns Zelmerlöw"
"17","Talk about you","Mika"
"18","No pide tanto, idiota","Maldita Nerea"
"19","Vuelve","Juan Magán;DCS;Paulina Rubio"
"20","Hold my hand","Jess Glynne"
"21","Wonder woman","Sweet California;Jake Miller"
"22","Goodbye","Feder;Lyse"
"23","Recuérdame (Versión 2015)","Pablo Alborán"
"24","A que no me dejas","Alejandro Sanz"
"25","Good to be bad (Miedo a querer)","Paula Rojo"
"26","Pastillas para dormir","Estopa"
"27","Want to want me","Jason Derülo"
"28","Él no te da","Dasoul"
"29","Headlights","Robin Schulz;Ilsey"
"30","Waiting for love","Avicii"
"31","King","Years & Years"
"32","Garabatos","Fito & Fitipaldis"
"33","Ain't nobody (Loves me better)","Felix Jaehn;Jasmine Thompson"
"34","Reality","Lost Frequencies;Janieck Devy"
"35","El perdón","Nicky Jam;Enrique Iglesias"
"36","Cadillac","Mario Jefferson"
"37","Can't feel my face","The Weeknd"
"38","Won't stop","Electric Nana"
"39","Back it up (Spanish version)","Prince Royce;Jennifer López;Pitbull"
"40","Kill me (And make it quick)","Amelie"
