"","Song","Artist"
"1","Moves like Jagger","Maroon 5;Christina Aguilera"
"2","Rain over me","Pitbull;Marc Anthony"
"3","The lazy song","Bruno Mars"
"4","I'm into you","Jennifer López;Lil Wayne"
"5","¿No podíamos ser agua?","Maldita Nerea"
"6","I wanna go","Britney Spears"
"7","We found love","Rihanna;Calvin Harris"
"8","La niña que llora en tus fiestas","La Oreja de Van Gogh"
"9","The edge of glory","Lady GaGa"
"10","Glad you came","The Wanted"
"11","Coconut tree","Mohombi;Nicole Scherzinger"
"12","Got 2 luv u","Sean Paul;Alexis Jordan"
"13","Titanium","David Guetta;Sia"
"14","Paradise","Coldplay"
"15","Caminando","Amaia Montero"
"16","I like how it feels","Enrique Iglesias;Pitbull;The WAV.s"
"17","Last friday night (T.G.I.F)","Katy Perry"
"18","Rolling in the deep","Adele"
"19","Bailando por ahí","Juan Magán"
"20","Get back (ASAP)","Alexandra Stan"
"21","Erase you","André Olà;Heléne"
"22","La luna va y viene","El Pescao"
"23","Danza Kuduro","Don Omar;Lucenzo"
"24","Gimme the base (DJ)","Carlos Jean;Mandy Santos"
"25","Sweat","Snoop Dogg;David Guetta"
"26","Perdóname ángel","Melendi"
"27","Price tag","Jessie J;B.o.B"
"28","Party rock anthem","LMFAO;GoonRock;Laurent Bennet"
"29","Don't wanna go home","Jason Derülo"
"30","Wepa","Gloria Estefan"
"31","Dreamkiller","The Monomes"
"32","Best thing I never had","Beyoncé"
"33","Get together","Marta Sánchez;Dmol"
"34","Just can't get enough","The Black Eyed Peas"
"35","Good feeling","Flo Rida"
"36","Soledad en mí","La Musicalité"
"37","Where them girls at","David Guetta;Flo Rida;Nicki Minaj"
"38","Give me everything","Pitbull;Afrojack;Nayer;Ne-Yo"
"39","Hello","Martin Solveig;Dragonette"
"40","S&M","Rihanna"
