"","Song","Artist"
"1","Kamikaze","Amaral"
"2","¡Eres tonto!","El Canto del Loco"
"3","Gotas de agua dulce","Juanes"
"4","No estamos solos","Eros Ramazzotti;Ricky Martin"
"5","Beautiful girls","Sean Kingston"
"6","Bleeding love","Leona Lewis"
"7","Apologize","OneRepublic"
"8","Mercy","Duffy"
"9","Si no te hubieras ido","Maná"
"10","Violet hill","Coldplay"
"11","Love song","Sara Bareilles"
"12","Puede ser","Conchita"
"13","El presente","Julieta Venegas"
"14","Que el tiempo no te cambie (V. 2008)","Tequila"
"15","Rehab","Amy Winehouse"
"16","No estés triste","Manolo García"
"17","Just hold me","Maria Mena"
"18","Cuando amanece","Estopa"
"19","About you now","Sugababes"
"20","Don't stop the music","Rihanna"
"21","Ella elle l'a","Kate Ryan"
"22","Don't jump","Tokio Hotel"
"23","Pretendo hablarte","Beatriz Luengo"
"24","4 minutes","Madonna;Justin Timberlake;Timbaland"
"25","Say it right","Nelly Furtado"
"26","Hacer por hacer","Miguel Bosé;Gloria Gaynor"
"27","Hate that I love you","Rihanna;David Bisbal"
"28","I'll be waiting","Lenny Kravitz"
"29","Roto por dentro","M-Clan"
"30","Cuerpo triste","Estopa"
"31","S.O.S.","Jonas Brothers"
"32","Lo mismo","No Way Out"
"33","Back to black","Amy Winehouse"
"34","Estrella polar","Pereza;Juan Aguirre"
"35","Superwoman","Alicia Keys"
"36","Como un lobo","Miguel Bosé;Bimba Bosé"
"37","In my arms","Kylie Minogue"
"38","Serenade07","Dover"
"39","Cada dos minutos","Despistaos"
"40","Bella traición","Belinda"
