"","Song","Artist"
"1","Colgando en tus manos","Carlos Baute;Marta Sánchez"
"2","The boy does nothing","Alesha Dixon"
"3","Just dance","Lady GaGa;Colby O'Donis"
"4","This is the life","Amy MacDonald"
"5","Human","The Killers"
"6","El aleph","Nena Daconte"
"7","Que te quería","La Quinta Estación"
"8","Broken strings","James Morrison;Nelly Furtado"
"9","Peter Pan","El Canto del Loco"
"10","Womanizer","Britney Spears"
"11","Estoy enfermo","Pignoise;Melendi"
"12","Love story","Taylor Swift"
"13","Beggin","Madcon"
"14","Disturbia","Rihanna"
"15","If I were a boy","Beyoncé"
"16","Piratas del bar Caribe","Melendi"
"17","Hot n cold","Katy Perry"
"18","Shine on","R.I.O."
"19","Somos","Melocos"
"20","Infinity 2008","Guru Josh Project;Klaas"
"21","Quiero ser","Amaia Montero"
"22","Chasing pavements","Adele"
"23","Deseo que ya no puede ser","Nek"
"24","Si no estás","El Sueño de Morfeo"
"25","Moving","Macaco"
"26","Nunca tendré","Coti"
"27","Viva la vida","Coldplay"
"28","Perdóname","Amaral"
"29","4 segundos","Amaia Montero"
"30","Europa VII","La Oreja de Van Gogh"
"31","Grita","Jarabe de Palo"
"32","Better in time","Leona Lewis"
"33","La sonrisa de la luna","Ilsa"
"34","I kissed a girl","Katy Perry"
"35","Hemicraneal","Estopa"
"36","Te esperaré","Calle París"
"37","Por quererte","Efecto Mariposa"
"38","Cuéntale","Conchita"
"39","Sober","P!nk"
"40","The man who can't be moved","The Script"
