"","Song","Artist"
"1","Tu jardín con enanitos","Melendi"
"2","Impossible","James Arthur"
"3","Heartbreaker","Auryn"
"4","Stay","Rihanna;Mikky Ekko"
"5","When I was your man","Bruno Mars"
"6","Feel this moment","Pitbull;Christina Aguilera"
"7","Vuelvo a verte","Malú;Pablo Alborán"
"8","Thrift shop","Macklemore & Ryan Lewis;Wanz"
"9","No importa que llueva","Efecto Pasillo"
"10","Ho hey","The Lumineers"
"11","It's time","Imagine Dragons"
"12","I could be the one","Avicii;Nicky Romero"
"13","Turn around","Conor Maynard;Ne-Yo"
"14","Just give me a reason","P!nk;Nate Ruess"
"15","Get lucky","Daft Punk;Pharrell Williams"
"16","Kiss you","One Direction"
"17","Con fuego","Soraya;Aqeelion"
"18","Viven","Rasel;Jadel"
"19","Quién","Pablo Alborán"
"20","Boytoy","Angy"
"21","Try","P!nk"
"22","Disparé","Nena Daconte"
"23","Prisoners","Carlos Jean;DJ Nano;Antonio Ferrara"
"24","Mirrors","Justin Timberlake"
"25","¡Corre!","Jesse & Joy"
"26","No digas nada (Déjà vu)","Cali y Dandee"
"27","Unbreakable","Marien Baker;Shaun Frank"
"28","Let her go","Passenger"
"29","Turn on the radio","Xuso Jones"
"30","Camino de rosas","Alejandro Sanz"
"31","Hall of fame","The Script;Will.I.Am"
"32","Play hard","David Guetta;Akon;Ne-Yo"
"33","Me enamoré (Feeling of love)","XRIZ"
"34","Come & get it","Selena Gomez"
"35","I knew you were trouble","Taylor Swift"
"36","Scream & shout","Will.I.Am;Britney Spears"
"37","Right now","Kostrok"
"38","Little talks","Of Monsters and Men"
"39","Don't stop the dancing (Video edit)","Manian;Carlprit"
"40","Don't you worry child","Swedish House Mafia;John Martin"
