"","Song","Artist"
"1","Cómo te atreves","Morat"
"2","This girl","Kungs;Cookin' On 3 Burners"
"3","Ain't your mama","Jennifer López"
"4","Don't let me down","The Chainsmokers;Daya"
"5","One dance","Drake;Kyla;WizKid"
"6","Can't stop the feeling","Justin Timberlake"
"7","This is what you came for","Calvin Harris;Rihanna"
"8","Middle","DJ Snake;Bipolar Sunshine"
"9","Bobo","J Balvin"
"10","We don't talk anymore","Charlie Puth;Selena Gomez"
"11","Las ganas","Dani Martín"
"12","Treat you better","Shawn Mendes"
"13","Don't be so shy","Imany;Filatov & Karas"
"14","California dreamin'","Freischwimmer"
"15","Wherever I go","OneRepublic"
"16","La bicicleta","Carlos Vives;Shakira"
"17","In common","Alicia Keys"
"18","Cold water","Major Lazer;Justin Bieber;MØ"
"19","Sincericidio","Leiva"
"20","This one's for you","David Guetta;Zara Larsson"
"21","Dark necessities","Red Hot Chili Peppers"
"22","Duele el corazón","Enrique Iglesias;Wisin"
"23","Una vez más",NA
"24","Hold up","Beyoncé"
"25","Borro cassette","Maluma"
"26","Me too","Meghan Trainor"
"27","Yo quiero vivir","Manuel Carrasco"
"28","Baila conmigo","Juan Magán;Luciana"
"29","Mama said","Lukas Graham"
"30","Kiss the sky","Jason Derülo"
"31","Mira como vuelo","Miss Caffeina"
"32","I hate u I love u (Short edit)","Gnash;Olivia O'Brien"
"33","Fiesta en el infierno","Fangoria"
"34","Carreteras infinitas","Sidonie"
"35","Ride","Twenty One Pilots"
"36","Caos","Malú"
"37","No money","Galantis"
"38","Don't you need somebody","RedOne;Enrique Iglesias;R. City;Serayah;Shaggy"
"39","Vuela corazón","Dasoul"
"40","Life into the wild","Furious Monkey House"
