"","Song","Artist"
"1","Tonight (I'm lovin' you)","Enrique Iglesias;DJ Frank E;Ludacris"
"2","Blanco y negro","Malú"
"3","Tú mirada me hace grande","Maldita Nerea"
"4","Born this way","Lady GaGa"
"5","Firework","Katy Perry"
"6","Who's that chick?","David Guetta;Rihanna"
"7","Cuatro elementos","La Musicalité;El Sueño de Morfeo"
"8","Hold my hand","Michael Jackson;Akon"
"9","Grenade","Bruno Mars"
"10","The time (Dirty bit)","The Black Eyed Peas"
"11","Buscando el sol","El Pescao"
"12","Love the way you lie","Eminem;Rihanna"
"13","Mira la vida","Dani Martín"
"14","Hold it against me","Britney Spears"
"15","Barbra Streisand","Duck Sauce"
"16","Sale el sol","Shakira"
"17","Solamente tú","Pablo Alborán"
"18","Only girl (In the world)","Rihanna"
"19","Lead the way","Carlos Jean;Electric Nana"
"20","On the floor","Jennifer López;Pitbull"
"21","Lo que no ves","POL 3.14"
"22","More","Usher;Jimmy Joker;RedOne"
"23","Puerto presente","Macaco;Fito Cabrales"
"24","Higher","Taio Cruz;Kylie Minogue"
"25","Mr. Saxobeat","Alexandra Stan"
"26","So far gone","James Blunt"
"27","Lo mejor de mi vida eres tú","Ricky Martin;Natalia Jiménez"
"28","Y mírame","Despistaos;Jorge Ruiz"
"29","View","The Monomes"
"30","Perdida","Nena Daconte"
"31","Canción de amor caducada","Melendi"
"32","Turn around (5, 4, 3, 2, 1)","Flo Rida"
"33","Quiero","Pignoise"
"34","Dynamite","Taio Cruz"
"35","Me acordé de ti","Fito & Fitipaldis"
"36","Stay the night","James Blunt"
"37","Just the way you are","Bruno Mars"
"38","Get outta my way","Kylie Minogue"
"39","Club can't handle me","Flo Rida;David Guetta"
"40","We r who we r","Ke$ha"
