"","Song","Artist"
"1","El perdón","Nicky Jam;Enrique Iglesias"
"2","See you again","Wiz Khalifa;Charlie Puth"
"3","Cheerleader","OMI;Felix Jaehn"
"4","Lean on","Major Lazer;DJ Snake;MØ"
"5","Firestone","Kygo;Conrad"
"6","Are you with me","Lost Frequencies"
"7","G.D.F.R. (Going down for real)","Flo Rida;LooKas;Sage The Gemini"
"8","Mi nuevo vicio","Paulina Rubio;Morat"
"9","Bills","LunchMoney Lewis"
"10","Want to want me","Jason Derülo"
"11","Él no te da","Dasoul"
"12","King","Years & Years"
"13","I'm an Albatraoz","AronChupa"
"14","Sugar","Maroon 5"
"15","Un zombie a la intemperie","Alejandro Sanz"
"16","Hold my hand","Jess Glynne"
"17","Earned it","The Weeknd"
"18","Style","Taylor Swift"
"19","Hey babe!","Calum"
"20","Love me like you do","Ellie Goulding"
"21","Cuando me siento bien","Efecto Pasillo"
"22","Fourfiveseconds","Rihanna;Kanye West;Paul McCartney"
"23","La promesa","Melendi"
"24","Hold back the river","James Bay"
"25","Mi verdad","Maná;Shakira"
"26","Underdogs","Benjamin"
"27","Come together","Echosmith"
"28","I really like you","Carly Rae Jepsen"
"29","Elastic heart","Sia"
"30","What I did for love","David Guetta;Emeli Sandé"
"31","Kill me (And make it quick)","Amelie"
"32","Five more hours","Chris Brown;Deorro"
"33","Lifetime","Alexander Som;Carlos Jean"
"34","I'm not the only one","Sam Smith"
"35","Volar","Macaco"
"36","Eio","Lucy Paradise"
"37","Our kingdom","Abel Ramos;José de Mara"
"38","Won't stop","Electric Nana"
"39","Somos","Xuso Jones"
"40","Thinking out loud","Ed Sheeran"
