"","Song","Artist"
"1","I could be the one","Avicii;Nicky Romero"
"2","Get lucky","Daft Punk;Pharrell Williams"
"3","Let her go","Passenger"
"4","Thrift shop","Macklemore & Ryan Lewis;Wanz"
"5","Just give me a reason","P!nk;Nate Ruess"
"6","Impossible","James Arthur"
"7","Play hard","David Guetta;Akon;Ne-Yo"
"8","Stay","Rihanna;Mikky Ekko"
"9","Ho hey","The Lumineers"
"10","No digas nada (Déjà vu)","Cali y Dandee"
"11","Live it up","Jennifer López;Pitbull"
"12","Cero","Dani Martín"
"13","Quién","Pablo Alborán"
"14","More than friends","Inna;Daddy Yankee"
"15","Vuelvo a verte","Malú;Pablo Alborán"
"16","When I was your man","Bruno Mars"
"17","Heartbreaker","Auryn"
"18","Unbreakable","Marien Baker;Shaun Frank"
"19","¡Corre!","Jesse & Joy"
"20","Camino de rosas","Alejandro Sanz"
"21","Mirrors","Justin Timberlake"
"22","Tu jardín con enanitos","Melendi"
"23","Funketón","Efecto Pasillo"
"24","Come & get it","Selena Gomez"
"25","Turn on the radio","Xuso Jones"
"26","On top of the world","Imagine Dragons"
"27","The other side","Jason Derülo"
"28","Blurred lines","Robin Thicke;Pharrell Williams;T.I."
"29","Me enamoré (Feeling of love)","XRIZ"
"30","Right now","Kostrok"
"31","Con fuego","Soraya;Aqeelion"
"32","Walks like Rihanna","The Wanted"
"33","Gitana","El Viaje de Elliot"
"34","Love me again","John Newman"
"35","I love it","Icona Pop;Charli XCX"
"36","Mondays","Yanela Brooks"
"37","Viven","Rasel;Jadel"
"38","Pretty boy","Edurne"
"39","Turn around","Conor Maynard;Ne-Yo"
"40","Boytoy","Angy"
