"","Song","Artist"
"1","Manos al aire","Nelly Furtado"
"2","Antes de que cuente diez","Fito & Fitipaldis"
"3","I gotta feeling","The Black Eyed Peas"
"4","Por quererte","Efecto Mariposa"
"5","Looking for paradise","Alejandro Sanz;Alicia Keys"
"6","Halo","Beyoncé"
"7","When love takes over","David Guetta;Kelly Rowland"
"8","Pick me up","Emilia de Poret"
"9","I'm yours","Jason Mraz"
"10","Mama do (Uh oh, uh oh)","Pixie Lott"
"11","Summercat","Billie The Vision & the Dancers"
"12","La suerte de mi vida","El Canto del Loco"
"13","Esclavo de sus besos","David Bisbal"
"14","Ayo technology","Milow"
"15","Moving","Macaco"
"16","Solo quiero bailar","Zenttric"
"17","Bodies","Robbie Williams"
"18","Violento amor","Pereza"
"19","Celebration (Dub mix)","Madonna;Paul Oakenfold"
"20","Perdóname","Coti;Nena Daconte"
"21","Happy","Leona Lewis"
"22","Que me queda","Antonio Orozco"
"23","Loba","Shakira"
"24","Breathe slow","Alesha Dixon"
"25","Te voy a decir una cosa","Amaia Montero"
"26","Poker face","Lady GaGa"
"27","Colgando en tus manos","Carlos Baute;Marta Sánchez"
"28","Tengo","Macaco"
"29","Doesn't mean anything","Alicia Keys"
"30","La lluvia","María Villalón"
"31","Lovers in Japan","Coldplay"
"32","Nada se compara a ti","Carlos Baute"
"33","Broken strings","James Morrison;Nelly Furtado"
"34","Lo hecho está hecho","Shakira"
"35","Rain","Mika"
"36","You know me","Robbie Williams"
"37","Si no estás","El Sueño de Morfeo"
"38","Rincón exquisito","Second"
"39","Tienes que hacerlo por ti","Calle París"
"40","Recuérdame","Marc Anthony;La Quinta Estación"
