"","Song","Artist"
"1","Sweet but psycho","Ava Max"
"2","Vas a quedarte","Aitana"
"3","Nothing breaks like a heart","Mark Ronson;Miley Cyrus"
"4","Love someone","Lukas Graham"
"5","Mujer bruja","Lola Índigo;Mala Rodríguez"
"6","Lo siento","Beret"
"7","Kiss and make up","Dua Lipa;Black Pink"
"8","Say my name","Bebe Rexha;David Guetta;J Balvin"
"9","Tu refugio (Nueva versión)","Pablo Alborán"
"10","Bajito","Ana Guerra"
"11","Perdón","David Bisbal;Greeicy"
"12","Shotgun","George Ezra"
"13","No te preocupes por mí","Leiva"
"14","Angels","Tom Walker"
"15","Déjame ser","Manuel Carrasco"
"16","Promises","Calvin Harris;Sam Smith"
"17","Inventas","Vanesa Martín"
"18","Loca","Álvaro Soler"
"19","Taki taki","DJ Snake;Cardi B;Ozuna;Selena Gomez"
"20","Let you love me","Rita Ora"
"21","5 sentidos","Dvicio;Taburete"
"22","High hopes","Panic! at the Disco"
"23","No tengo nada","Alejandro Sanz"
"24","Giant","Calvin Harris;Rag'n'Bone Man"
"25","Without me","Halsey"
"26","No volveré (A seguir tus pasos)","Blas Cantó"
"27","Cuando nadie ve","Morat"
"28","Be alright","Dean Lewis"
"29","Close to me","Diplo;Ellie Goulding;Swae Lee"
"30","Qué tienes tú","Dvicio;Jesús Navarro;Mau y Ricky"
"31","I wish you were here","HRVY"
"32","No te enamores","Efecto Pasillo"
"33","Blow that smoke","Major Lazer;Tove Lo"
"34","Besos a la lona","Melendi"
"35","Girls like you","Maroon 5;Cardi B"
"36","Desprevenida","Malú"
"37","In my mind","Dynoro;Gigi D'Agostino"
"38","2002","Anne-Marie"
"39","Ya no quiero ná","Lola Índigo"
"40","Happier","Ed Sheeran"
