"","Song","Artist"
"1","Only girl (In the world)","Rihanna"
"2","El secreto de las tortugas","Maldita Nerea"
"3","Love the way you lie","Eminem;Rihanna"
"4","Barbie de extrarradio","Melendi"
"5","Cry cry","Oceana"
"6","Loca","Shakira;El Cata"
"7","Club can't handle me","Flo Rida;David Guetta"
"8","Castillo de arena","El Pescao;Ana Cañas"
"9","Dynamite","Taio Cruz"
"10","Alejandro","Lady GaGa"
"11","Just the way you are","Bruno Mars"
"12","Teenage dream","Katy Perry"
"13","16 añitos","Dani Martín"
"14","Cama vacía","Pignoise"
"15","Get outta my way","Kylie Minogue"
"16","Con la mano levantá","Macaco;Estopa"
"17","Dj got us fallin' in love","Usher"
"18","No te invite a dormir","Nena Daconte"
"19","What do you got?","Bon Jovi"
"20","Take it off","Ke$ha"
"21","Y no regresas","Juanes"
"22","Need you now","Lady Antebellum"
"23","Lola soledad","Alejandro Sanz"
"24","Stay the night","James Blunt"
"25","Otra oportunidad","Preciados"
"26","I like it","Enrique Iglesias"
"27","Sick of love","Robert Ramírez"
"28","Cooler than me","Mike Posner"
"29","The flood","Take That"
"30","Fuck you","Cee Lo Green"
"31","Replay","Iyaz"
"32","Well well well","Duffy"
"33","Déjà vu","Inna;Bob Taylor;Play & Win"
"34","We no speak americano",NA
"35","Perdido en la calle","Taxi"
"36","Memories","David Guetta;Kid Cudi"
"37","Hey, soul sister","Train"
"38","This is my life","Edward Maya;Vika Jigulina"
"39","In my head","Jason Derülo"
"40","Live your dreams","Soraya;Antoine Clamaran"
