"","Song","Artist"
"1","Yo te esperaré","Cali & El Dandee"
"2","Te he echado de menos","Pablo Alborán"
"3","Someone like you","Adele"
"4","The one that got away","Katy Perry"
"5","She doesn't mind","Sean Paul"
"6","Stronger (What doesn't kill you)","Kelly Clarkson"
"7","International love","Pitbull"
"8","Sexy and I know it","LMFAO"
"9","Dejarse la piel","Lagarto Amarillo"
"10","Stereo hearts","Gym Class Heroes"
"11","Breathing","Jason Derülo"
"12","Domino","Jessie J"
"13","Me quedaré","Estopa"
"14","Levels","Avicii"
"15","Wild ones","Flo Rida"
"16","Boys will be boys","Paulina Rubio"
"17","Titanium","David Guetta"
"18","Cometas por el cielo","La Oreja de Van Gogh"
"19","The A Team","Ed Sheeran"
"20","Give me all your luvin'","Madonna"
"21","Next to me","Emeli Sandé"
"22","Hangover","Taio Cruz"
"23","Criminal","Britney Spears"
"24","Twilight","Cover Drive"
"25","Love is the only way","Macaco"
"26","Rara","Georgina"
"27","1.000.000","Alexandra Stan"
"28","Los días contados","Despistaos"
"29","Buy the Dj a round","Xuso Jones"
"30","Papi","Jennifer López"
"31","We found love","Rihanna"
"32","La señal","Juanes"
"33","Mama luba","Serebro"
"34","Tengo tu love","Sie7e"
"35","Silenced by the night","Keane"
"36","No sigue modas","Juan Magán"
"37","Llueve","Melendi"
"38","Princess of China","Coldplay"
"39","Without you","David Guetta"
"40","BlackStar","Carlos Jean"
