"","Song","Artist"
"1","Club can't handle me","Flo Rida;David Guetta"
"2","Alejandro","Lady GaGa"
"3","El secreto de las tortugas","Maldita Nerea"
"4","Waka waka (Esto es África)","Shakira;Freshlyground"
"5","We no speak americano",NA
"6","Break your heart","Taio Cruz"
"7","Cry cry","Oceana"
"8","All the lovers","Kylie Minogue"
"9","Castillo de arena","El Pescao;Ana Cañas"
"10","Sick of love","Robert Ramírez"
"11","I like it","Enrique Iglesias"
"12","16 añitos","Dani Martín"
"13","Replay","Iyaz"
"14","Nuestro amor será leyenda","Alejandro Sanz"
"15","California gurls","Katy Perry"
"16","Déjà vu","Inna;Bob Taylor;Play & Win"
"17","Love the way you lie","Eminem;Rihanna"
"18","Your love is my drug","Ke$ha"
"19","Sonrisa","Ana Torroja"
"20","Need you now","Lady Antebellum"
"21","Dannayá","Dover"
"22","In my head","Jason Derülo"
"23","Otra oportunidad","Preciados"
"24","Dj got us fallin' in love","Usher"
"25","Hey, soul sister","Train"
"26","Dynamite","Taio Cruz"
"27","Stereo love","Edward Maya;Molella"
"28","What do you got?","Bon Jovi"
"29","Bipolar","POL 3.14"
"30","Crossfire","Brandon Flowers"
"31","Barbie de extrarradio","Melendi"
"32","Nothin' on you","B.o.B;Bruno Mars"
"33","Gracias","Despistaos"
"34","Memories","David Guetta;Kid Cudi"
"35","Perdido en la calle","Taxi"
"36","Cama vacía","Pignoise"
"37","Los huesos de los besos","Fito & Fitipaldis"
"38","Blues del pescador","Celtas Cortos"
"39","Rock that body","The Black Eyed Peas"
"40","Rude boy","Rihanna"
