"","Song","Artist"
"1","Me quedo",NA
"2","Dance monkey","Tones and I"
"3","Tabú","Ava Max;Pablo Alborán"
"4","Indeciso","J Balvin;Lalo Ebratt;Reik"
"5","Memories","Maroon 5"
"6","Don't start now","Dua Lipa"
"7","Only human","Jonas Brothers"
"8","Si por mí fuera","Beret"
"9","Beautiful people","Ed Sheeran;Khalid"
"10","Yo x ti tú x mí","Ozuna;Rosalía"
"11","Liar","Camila Cabello"
"12","La mentira","Dani Martín"
"13","Ritmo (Bad boys for life)","J Balvin;The Black Eyed Peas"
"14","So am I","Ava Max"
"15","How do you sleep?","Sam Smith"
"16","Qué bonito es querer","Manuel Carrasco"
"17","Orphans","Coldplay"
"18","Dosis","ChocQuibTown;Dvicio;Reik"
"19","Superpoderes","Leiva"
"20","Atrévete","Nicky Jam;Sech"
"21","Atrapado","Estopa"
"22","Circles","Post Malone"
"23","Tutu","Camilo;Pedro Capó"
"24","Runaway","Daddy Yankee;Natti Natasha;Sebastián Yatra;Jonas Brothers"
"25","You need to calm down","Taylor Swift"
"26","Mala santa","Becky G"
"27","A dónde vamos","Morat"
"28","Lie","Lukas Graham"
"29","Nuestro tiempo","Amaral"
"30","Old town road","Lil Nas X;Billy Ray Cyrus"
"31","Caída libre","Vanesa Martín"
"32","Mother","Charlie Puth"
"33","Mama no","Pablo López"
"34","Piece of your heart","MEDUZA;Goodboys"
"35","Indios y vaqueros","Sinsinati"
"36","Someone you loved","Lewis Capaldi;Madism"
"37","Soldadito de hierro","Nil Moliner;Dani Fernández"
"38","Ride it",NA
"39","Señorita","Camila Cabello;Shawn Mendes"
"40","China","Anuel AA;Daddy Yankee;J Balvin;Karol G;Ozuna"
