"","Song","Artist"
"1","Friends","Anne-Marie;marshmello"
"2","These days","Rudimental;Dan Caplen;Jess Glynne;Macklemore"
"3","La cintura","Álvaro Soler"
"4","Lo malo","Aitana Ocaña;Ana Guerra"
"5","Never be the same","Camila Cabello"
"6","One kiss","Calvin Harris;Dua Lipa"
"7","Spinning over you","REYKO"
"8","1, 2, 3","Sofía Reyes;De la Ghetto;Jason Derülo"
"9","Mad love","Sean Paul;Becky G;David Guetta"
"10","El arrepentido","Melendi;Carlos Vives"
"11","Dieciocho","Dani Martín"
"12","Flames","David Guetta;Sia"
"13","A partir de hoy","David Bisbal;Sebastián Yatra"
"14","In my blood","Shawn Mendes"
"15","Familiar","J Balvin;Liam Payne"
"16","Leave a light on","Tom Walker"
"17","X","Nicky Jam;J Balvin"
"18","El préstamo","Maluma"
"19","Idgaf","Dua Lipa"
"20","The middle","Maren Morris;Zedd;Grey"
"21","Meant to be","Bebe Rexha;Florida Georgia Line"
"22","Prometo","Pablo Alborán"
"23","No tears left to cry","Ariana Grande"
"24","Él no soy yo","Blas Cantó"
"25","All falls down","Alan Walker;Digital Farm Animals;Noah Cyrus"
"26","Wolves","Selena Gomez;marshmello"
"27","Perfect duet","Ed Sheeran;Beyoncé"
"28","Better now","Post Malone"
"29","No excuses","Meghan Trainor"
"30","Échame la culpa","Luis Fonsi;Demi Lovato"
"31","For you","Liam Payne;Rita Ora"
"32","Belerofón","Taburete"
"33","I miss you","Clean Bandit;Julia Michaels"
"34","La llave","Pablo Alborán;Piso 21"
"35","Dusk till dawn","Zayn Malik;Sia"
"36","Besos en guerra","Morat;Juanes"
"37","Salvajes irracionales","Efecto Pasillo"
"38","Hey hey","Maico"
"39","Déjate llevar","Juan Magán;B-Case;Belinda;Manuel Turizo;Snova"
"40","Trust fund baby","Why Don't We"
