"","Song","Artist"
"1","Someone like you","Adele"
"2","International love","Pitbull;Chris Brown"
"3","Stereo hearts","Gym Class Heroes;Adam Levine"
"4","The one that got away","Katy Perry"
"5","Yo te esperaré","Cali y Dandee"
"6","Sexy and I know it","LMFAO"
"7","Levels","Avicii;Etta James"
"8","Te he echado de menos","Pablo Alborán"
"9","Domino","Jessie J"
"10","Dejarse la piel","Lagarto Amarillo"
"11","She doesn't mind","Sean Paul"
"12","Hangover","Taio Cruz;Flo Rida"
"13","Criminal","Britney Spears"
"14","Give me all your luvin'","Madonna;M.I.A.;Nicki Minaj"
"15","Stronger (What doesn't kill you)","Kelly Clarkson"
"16","Titanium","David Guetta;Sia"
"17","Cometas por el cielo","La Oreja de Van Gogh"
"18","Paradise","Coldplay"
"19","Los días contados","Despistaos"
"20","Breathing","Jason Derülo"
"21","Me quedaré","Estopa"
"22","The A Team","Ed Sheeran"
"23","Good feeling","Flo Rida"
"24","Ai se eu te pego","Michel Teló"
"25","BlackStar","Carlos Jean;Antonio Ferrara;Electric Nana;Macadamia;StelioN;Tolo Servera"
"26","We found love","Rihanna;Calvin Harris"
"27","Love is the only way","Macaco"
"28","Papi","Jennifer López"
"29","Next to me","Emeli Sandé"
"30","No sigue modas","Juan Magán"
"31","Boys will be boys","Paulina Rubio"
"32","Rara","Georgina"
"33","Wild ones","Flo Rida;Sia"
"34","Twilight","Cover Drive"
"35","La señal","Juanes"
"36","Tengo tu love","Sie7e"
"37","Without you","David Guetta;Usher"
"38","Llueve","Melendi"
"39","Buy the Dj a round","Xuso Jones;Flii Stylz"
"40","Polvo de estrellas","Calle París"
