"","Song","Artist"
"1","La bicicleta","Carlos Vives;Shakira"
"2","Cold water","Major Lazer;Justin Bieber;MØ"
"3","We don't talk anymore","Charlie Puth;Selena Gomez"
"4","One dance","Drake;Kyla;WizKid"
"5","This girl","Kungs;Cookin' On 3 Burners"
"6","Don't be so shy","Imany;Filatov & Karas"
"7","Ain't your mama","Jennifer López"
"8","Can't stop the feeling","Justin Timberlake"
"9","Cómo te atreves","Morat"
"10","Kiss the sky","Jason Derülo"
"11","Ride","Twenty One Pilots"
"12","Let me love you","DJ Snake;Justin Bieber"
"13","Sincericidio","Leiva"
"14","Treat you better","Shawn Mendes"
"15","Borro cassette","Maluma"
"16","Don't let me down","The Chainsmokers;Daya"
"17","Mama said","Lukas Graham"
"18","Una vez más",NA
"19","Me too","Meghan Trainor"
"20","Las ganas","Dani Martín"
"21","This is what you came for","Calvin Harris;Rihanna"
"22","Quiero que sepas","Juan Magán"
"23","Carreteras infinitas","Sidonie"
"24","I hate u I love u (Short edit)","Gnash;Olivia O'Brien"
"25","In common","Alicia Keys"
"26","Bobo","J Balvin"
"27","No money","Galantis"
"28","Middle","DJ Snake;Bipolar Sunshine"
"29","De pies a cabeza","Nicky Jam;Maná"
"30","Dark necessities","Red Hot Chili Peppers"
"31","Fiesta en el infierno","Fangoria"
"32","Perfect strangers","Jonas Blue;JP Cooper"
"33","Mira como vuelo","Miss Caffeina"
"34","All in my head (Flex)","Fifth Harmony;Fetty Wap"
"35","Yo quiero vivir","Manuel Carrasco"
"36","Life into the wild","Furious Monkey House"
"37","Kids","OneRepublic"
"38","Duele el corazón","Enrique Iglesias;Wisin"
"39","Don't you need somebody","RedOne;Enrique Iglesias;R. City;Serayah;Shaggy"
"40","Caos","Malú"
