"","Song","Artist"
"1","La cintura","Álvaro Soler"
"2","Friends","Anne-Marie;marshmello"
"3","These days","Rudimental;Dan Caplen;Jess Glynne;Macklemore"
"4","Lo malo","Aitana Ocaña;Ana Guerra"
"5","One kiss","Calvin Harris;Dua Lipa"
"6","Never be the same","Camila Cabello"
"7","1, 2, 3","Sofía Reyes;De la Ghetto;Jason Derülo"
"8","Mad love","Sean Paul;Becky G;David Guetta"
"9","Spinning over you","REYKO"
"10","Dieciocho","Dani Martín"
"11","Flames","David Guetta;Sia"
"12","A partir de hoy","David Bisbal;Sebastián Yatra"
"13","Familiar","J Balvin;Liam Payne"
"14","El arrepentido","Melendi;Carlos Vives"
"15","Leave a light on","Tom Walker"
"16","El préstamo","Maluma"
"17","In my blood","Shawn Mendes"
"18","The middle","Maren Morris;Zedd;Grey"
"19","Idgaf","Dua Lipa"
"20","No tears left to cry","Ariana Grande"
"21","Él no soy yo","Blas Cantó"
"22","Better now","Post Malone"
"23","X","Nicky Jam;J Balvin"
"24","Meant to be","Bebe Rexha;Florida Georgia Line"
"25","Prometo","Pablo Alborán"
"26","Back to you","Selena Gomez"
"27","All falls down","Alan Walker;Digital Farm Animals;Noah Cyrus"
"28","Perfect duet","Ed Sheeran;Beyoncé"
"29","Échame la culpa","Luis Fonsi;Demi Lovato"
"30","Belerofón","Taburete"
"31","La llave","Pablo Alborán;Piso 21"
"32","Wolves","Selena Gomez;marshmello"
"33","Gira",NA
"34","For you","Liam Payne;Rita Ora"
"35","Dusk till dawn","Zayn Malik;Sia"
"36","Déjate llevar","Juan Magán;B-Case;Belinda;Manuel Turizo;Snova"
"37","Hey hey","Maico"
"38","Te esperaré toda la vida","Dani Fernández"
"39","I miss you","Clean Bandit;Julia Michaels"
"40","No excuses","Meghan Trainor"
