"","Song","Artist"
"1","Something just like this","The Chainsmokers;Coldplay"
"2","Way down we go","Kaleo"
"3","It ain't me","Kygo;Selena Gomez"
"4","Shape of you","Ed Sheeran"
"5","You don't know me","Jax Jones;Raye"
"6","Me enamoré","Shakira"
"7","That's what I like","Bruno Mars"
"8","Súbeme la radio","Enrique Iglesias;Descemer Bueno;Zion & Lennox"
"9","Chained to the rhythm","Katy Perry;Skip Marley"
"10","Despacito","Luis Fonsi;Daddy Yankee;Justin Bieber"
"11","Hey ma (Spanish version)","J Balvin;Pitbull;Camila Cabello"
"12","In your bed","Blas Cantó"
"13","Sign of the times","Harry Styles"
"14","Casi humanos","Dvicio"
"15","Scared to be lonely","Dua Lipa;Martin Garrix"
"16","I got you","Bebe Rexha"
"17","Lumbra","Cali y El Dandee;Shaggy"
"18","Sigo extrañándote","J Balvin"
"19","Me llamas","Piso 21;Maluma"
"20","Aire",NA
"21","Hey baby","Diplo;Dimitri Vegas & Like Mike;Deb's Daughter"
"22","Tambores de guerra","Manuel Carrasco"
"23","Green light","Lorde"
"24","Call on me","Starley;Ryan Riback"
"25","Amor con hielo","Morat"
"26","Ciao adiós","Anne-Marie"
"27","Fiebre","David Bisbal"
"28","Swalla","Jason Derülo;Nicki Minaj;Ty Dolla $ign"
"29","Solo si es contigo","Bombai;Bebe"
"30","Ahora lloras tú","Ana Mena;CNCO"
"31","Safe inside","James Arthur"
"32","Hum","Sweet California;Juan Magán"
"33","Together","YALL;Mandy Díaz"
"34","Siglo XX","Sidonie"
"35","Sexual",NA
"36","I.M.T. (Incapacidad moral transitoria)","Love of Lesbian"
"37","Do it for your lover","Manel Navarro"
"38","I don't need to be you","Barei"
"39","Espectacular","Fangoria"
"40","Tuesday","Burak Yeter;Danelle Sandoval"
