"","Song","Artist"
"1","Volverte a ver","Juanes"
"2","Nunca volverá","El Sueño de Morfeo"
"3","El universo sobre mí","Amaral"
"4","Missing","Evanescence"
"5","She will be loved","Maroon 5"
"6","Let me show you (The way)","Natasha Thomas"
"7","Una tarde de sol","Manolo García"
"8","Es mi soledad","Antonio Orozco"
"9","Vertigo","U2"
"10","Stand my ground","Within Temptation"
"11","Barcos de papel","David DeMaría"
"12","Nada valgo sin tu amor","Juanes"
"13","Con mis manos","Bebe"
"14","Sabrás","Manuel Carrasco"
"15","This is the last time","Keane"
"16","Estoy aquí","Despistaos"
"17","Miedo","M-Clan"
"18","Welcome to my truth","Anastacia"
"19","Tú no tienes alma","Alejandro Sanz"
"20","No me canso","Ana Torroja"
"21","Al olvido","Elefantes"
"22","Boulevard of broken dreams","Green Day"
"23","¿Qué soy yo para tí?","Hombres G"
"24","Quiero ser tu sueño","Andy & Lucas"
"25","Cuéntame","Alea"
"26","Get right","Jennifer López"
"27","Salida","Álex Ubago"
"28","Sometimes you can't make it on your own","U2"
"29","Ecos","Luz Casal"
"30","Everybody's changing","Keane"
"31","Tenemos que hablar","Presuntos Implicados"
"32","Tangled up in me",NA
"33","Siempre me quedará","Bebe"
"34","What you waiting for?","Gwen Stefani"
"35","Tan sólo palabras","Marc Anthony"
"36","Enjoy the silence (Reinterpreted)","Depeche Mode;Mike Shinoda"
"37","Por un ratito en tus oidos","Pedro Javier Hermosilla"
"38","Dicen","Jarabe de Palo"
"39","Get down on it","Blue;Kool & the Gang;Lil' Kim"
"40","Daría","La Quinta Estación"
