"","Song","Artist"
"1","Atrévete","Nicky Jam;Sech"
"2","Old town road","Lil Nas X;Billy Ray Cyrus"
"3","So am I","Ava Max"
"4","Someone you loved","Lewis Capaldi;Madism"
"5","Beautiful people","Ed Sheeran;Khalid"
"6","Yo x ti tú x mí","Ozuna;Rosalía"
"7","Only human","Jonas Brothers"
"8","Superpoderes","Leiva"
"9","Señorita","Camila Cabello;Shawn Mendes"
"10","Qué bonito es querer","Manuel Carrasco"
"11","Índios y vaqueros","Sinsinati"
"12","Me quedo",NA
"13","China","Anuel AA;Daddy Yankee;J Balvin;Karol G;Ozuna"
"14","Liar","Camila Cabello"
"15","Dance monkey","Tones and I"
"16","Indeciso","J Balvin;Lalo Ebratt;Reik"
"17","Vuela (Beach pop)","Bombai"
"18","Get to know me","Anitta;Alesso"
"19","Si te vas","Blas Cantó"
"20","Piece of your heart","MEDUZA;Goodboys"
"21","Don't call me up","Mabel"
"22","You need to calm down","Taylor Swift"
"23","How do you sleep?","Sam Smith"
"24","Bad guy","Billie Eilish"
"25","Circles","Post Malone"
"26","Contando lunares","Don Patricio;Cruz Cafuné"
"27","Si por mí fuera","Beret"
"28","Disparos","Dani Fernández"
"29","Lie","Lukas Graham"
"30","Orphans","Coldplay"
"31","Sucker","Jonas Brothers"
"32","Con calma","Daddy Yankee;Snow"
"33","Let me down slowly","Alec Benjamin;Alessia Cara"
"34","Mares igual que tú","Amaral"
"35","Presiento","Aitana;Morat"
"36","I don't care","Ed Sheeran;Justin Bieber"
"37","Dímelo","Melendi;Andy Clay"
"38","Soldi","Mahmood;Maikel Delacalle"
"39","De tus ojos","Vanesa Martín;Carlos Jean"
"40","Lo quiero todo","Macaco"
