"","Song","Artist"
"1","Que nadie","Manuel Carrasco;Malú"
"2","Bad romance","Lady GaGa"
"3","Quiero aprender de ti","El Canto del Loco"
"4","Russian roulette","Rihanna"
"5","La lluvia","María Villalón"
"6","Ayo technology","Milow"
"7","Happy","Leona Lewis"
"8","Antes de que cuente diez","Fito & Fitipaldis"
"9","Sweet dreams","Beyoncé"
"10","Desde cuando","Alejandro Sanz"
"11","I gotta feeling","The Black Eyed Peas"
"12","Tik tok","Ke$ha"
"13","Doesn't mean anything","Alicia Keys"
"14","Esclavo de sus besos","David Bisbal"
"15","Diez minutos","Efecto Mariposa"
"16","Let's get excited","Alesha Dixon"
"17","Rain","Mika"
"18","Lucky","Jason Mraz;Colbie Caillat"
"19","We weren't born to follow","Bon Jovi"
"20","Looking for paradise","Alejandro Sanz;Alicia Keys"
"21","Meet me halfway","The Black Eyed Peas"
"22","Cosas que suenan a...","Maldita Nerea"
"23","This is it","Michael Jackson"
"24","Lo hecho está hecho","Shakira"
"25","Manos al aire","Nelly Furtado"
"26","Con sólo una mirada","Georgina"
"27","Lady Madrid","Pereza"
"28","Cry me out","Pixie Lott"
"29","Por quererte","Efecto Mariposa"
"30","You know me","Robbie Williams"
"31","Como una vela","Melendi"
"32","Falling in love","McFly"
"33","Tengo","Macaco"
"34","Fight for this love","Cheryl"
"35","Get to you","James Morrison"
"36","Más","Nelly Furtado"
"37","El run run","Rosario;Estopa"
"38","Gente","El Sueño de Morfeo"
"39","Solo quiero bailar","Zenttric"
"40","Que me queda","Antonio Orozco"
