"","Song","Artist"
"1","Rutinas","Chenoa"
"2","Hung up","Madonna"
"3","Marta, Sebas, Guille y los demás","Amaral"
"4","Volverá","El Canto del Loco"
"5","No","Shakira;Gustavo Cerati"
"6","My spirit flies to you","Monjes Budistas"
"7","Wake me up when september ends","Green Day"
"8","You're beautiful","James Blunt"
"9","Antes que ver el sol","Coti"
"10","No me crees","Efecto Mariposa;Javier Ojeda"
"11","Advertising space","Robbie Williams"
"12","Doctor pressure","Mylo;Miami Sound Machine (MSM)"
"13","Eras tú","Merche"
"14","Con sólo una sonrisa","Melendi"
"15","Un año más",NA
"16","Have a nice day","Bon Jovi"
"17","Pokito a poko","Chambao"
"18","Everything burns","Anastacia;Ben Moody"
"19","One","Mary J. Blige;U2"
"20","Cien gaviotas","Álex Ubago;Amaia Montero;Carlos Goñi;Cristina Lliso;David Summers;Quique González;Despistaos"
"21","Sorry","Madonna"
"22","Let's make history","Joana Zimmer;David Bisbal"
"23","Old town","The Corrs"
"24","Déjame verte","Diego Martín;Raquel del Rosarío"
"25","No quiero verla más","Estopa"
"26","Just feel better","Santana;Steven Tyler"
"27","Todo","Pereza"
"28","Put your records on","Corinne Bailey Rae"
"29","Duro de llevar","Revólver"
"30","Don't lie","The Black Eyed Peas"
"31","Behind these hazel eyes","Kelly Clarkson"
"32","The three degrees","Tara Blaise"
"33","Don't cha","The Pussycat Dolls;Busta Rhymes"
"34","Nothing else matters","Lucie Silvas"
"35","Para tu amor","Juanes"
"36","Quiero estar contigo","Javier Puig"
"37","Talk","Coldplay"
"38","Pieces of a dream","Anastacia"
"39","Don't bother","Shakira"
"40","Mushaboom","Feist"
