"","Song","Artist"
"1","Got 2 luv u","Sean Paul;Alexis Jordan"
"2","Someone like you","Adele"
"3","Cometas por el cielo","La Oreja de Van Gogh"
"4","Titanium","David Guetta;Sia"
"5","Good feeling","Flo Rida"
"6","Stereo hearts","Gym Class Heroes;Adam Levine"
"7","Without you","David Guetta;Usher"
"8","No sigue modas","Juan Magán"
"9","We found love","Rihanna;Calvin Harris"
"10","Domino","Jessie J"
"11","Midnight","Mandy Santos;Carlos Jean"
"12","The one that got away","Katy Perry"
"13","Hangover","Taio Cruz;Flo Rida"
"14","Paradise","Coldplay"
"15","Marry you","Bruno Mars"
"16","Tu mirada","Amaia Montero"
"17","Moves like Jagger","Maroon 5;Christina Aguilera"
"18","I like how it feels","Enrique Iglesias;Pitbull;The WAV.s"
"19","Dejarse la piel","Lagarto Amarillo"
"20","Criminal","Britney Spears"
"21","¿No podíamos ser agua?","Maldita Nerea"
"22","Rolling in the deep","Adele"
"23","The A Team","Ed Sheeran"
"24","La primavera","Estopa"
"25","International love","Pitbull;Chris Brown"
"26","When love","Chila Lynn"
"27","Sexy and I know it","LMFAO"
"28","No hay más","Antonio Orozco"
"29","Levels","Avicii;Etta James"
"30","Los días contados","Despistaos"
"31","Marry the night","Lady GaGa"
"32","El verdadero amor perdona","Maná"
"33","Glad you came","The Wanted"
"34","La luna va y viene","El Pescao"
"35","Breathing","Jason Derülo"
"36","Get back (ASAP)","Alexandra Stan"
"37","Rain over me","Pitbull;Marc Anthony"
"38","Me quedaré","Estopa"
"39","I wanna go","Britney Spears"
"40",NA,NA
