"","Song","Artist"
"1","Dangerous","David Guetta;Sam Martin"
"2","Chandelier","Sia"
"3","All about that bass","Meghan Trainor"
"4","Tocado y hundido","Melendi"
"5","Don't","Ed Sheeran"
"6","Por fin","Pablo Alborán"
"7","The days","Avicii"
"8","Steal my girl","One Direction"
"9","Habits (Stay high)","Tove Lo;Hippie Sabotage"
"10","Blame","Calvin Harris;John Newman"
"11","Stay with me","Sam Smith"
"12","Geronimo","Sheppard"
"13","Shake it off","Taylor Swift"
"14","Break free","Ariana Grande;Zedd"
"15","People help the people","Birdy"
"16","Entre la espada y la pared","Fito & Fitipaldis"
"17","Changing","Sigma;Paloma Faith"
"18","Wrapped up","Olly Murs;Travie McCoy"
"19","Liar liar","Cris Cab"
"20","Cool kids","Echosmith"
"21","Desaparecer","Malú"
"22","Bang bang","Jessie J;Ariana Grande;Nicki Minaj"
"23","I bet my life","Imagine Dragons"
"24","Saturday I'm in love","Auryn"
"25","Fireball","Pitbull;John Ryan"
"26","Riptide","Vance Joy"
"27","Oh Cecilia (Breaking my heart)","The Vamps;Shawn Mendes"
"28","Noche y de día","Enrique Iglesias;Juan Magán;Yandel"
"29","Shower","Becky G"
"30","Sí pero no","David Bisbal"
"31","Animals","Maroon 5"
"32","On our way","The Royal Concept"
"33","Where did you go?","Midnight Red"
"34","Good time","Inna;Pitbull"
"35","Los cantantes","Leiva"
"36","Justo ahora","Dvicio"
"37","Perdona si te llamo amor","Maldita Nerea"
"38","Aire","Antonio Orozco"
"39","Maverick","Albert Neve;Les Castizos;Robbie Wulfsohn"
"40","Boom clap","Charli XCX"
