"","Song","Artist"
"1","Tocado y hundido","Melendi"
"2","People help the people","Birdy"
"3","Dangerous","David Guetta;Sam Martin"
"4","Stay with me","Sam Smith"
"5","Chandelier","Sia"
"6","Wrapped up","Olly Murs;Travie McCoy"
"7","Riptide","Vance Joy"
"8","All about that bass","Meghan Trainor"
"9","Break free","Ariana Grande;Zedd"
"10","Uptown funk","Mark Ronson;Bruno Mars"
"11","The days","Avicii"
"12","Habits (Stay high)","Tove Lo;Hippie Sabotage"
"13","I bet my life","Imagine Dragons"
"14","Saturday I'm in love","Auryn"
"15","Animals","Maroon 5"
"16","Thinking out loud","Ed Sheeran"
"17","Por fin","Pablo Alborán"
"18","Fade out lines","The Avener"
"19","Cool kids","Echosmith"
"20","Geronimo","Sheppard"
"21","Sun goes down","Robin Schulz;Jasmine Thompson"
"22","Where did you go?","Midnight Red"
"23","Don't","Ed Sheeran"
"24","Steal my girl","One Direction"
"25","Take me to church","Hozier"
"26","Desaparecer","Malú"
"27","Oh Cecilia (Breaking my heart)","The Vamps;Shawn Mendes"
"28","Changing","Sigma;Paloma Faith"
"29","Blank space","Taylor Swift"
"30","Lips are movin","Meghan Trainor"
"31","Outside","Calvin Harris;Ellie Goulding"
"32","Liar liar","Cris Cab"
"33","Perdona si te llamo amor","Maldita Nerea"
"34","Entre la espada y la pared","Fito & Fitipaldis"
"35","Girls in luv","DJane Housekat;Rameez"
"36","Los cantantes","Leiva"
"37","Shake it off","Taylor Swift"
"38","Something big","Shawn Mendes"
"39","Sí pero no","David Bisbal"
"40","Blame","Calvin Harris;John Newman"
