"","Song","Artist"
"1","Hips don't lie","Shakira;Wyclef Jean"
"2","Sorry","Madonna"
"3","Muñeca de trapo","La Oreja de Van Gogh"
"4","Otra vez","Coti;Paulina Rubio"
"5","Déjame verte","Diego Martín;Raquel del Rosarío"
"6","Nothing else matters","Lucie Silvas"
"7","Wake me up when september ends","Green Day"
"8","Volverá","El Canto del Loco"
"9","No me crees","Efecto Mariposa;Javier Ojeda"
"10","One","Mary J. Blige;U2"
"11","Resurrección","Amaral"
"12","Todo","Pereza"
"13","Dani California","Red Hot Chili Peppers"
"14","Let's make history","Joana Zimmer;David Bisbal"
"15","You're beautiful","James Blunt"
"16","Suddenly I see","KT Tunstall"
"17","Pokito a poko","Chambao"
"18","Sara","Revólver;Mikel Erentxun"
"19","My spirit flies to you","Monjes Budistas"
"20","Rutinas","Chenoa"
"21","Don't lie","The Black Eyed Peas"
"22","Me voy","Julieta Venegas"
"23","Love generation","Bob Sinclar;Gary ""Nesta"" Pine"
"24","Advertising space","Robbie Williams"
"25","No quiero verla más","Estopa"
"26","Hay que volver","Celtas Cortos"
"27","Don't cha","The Pussycat Dolls;Busta Rhymes"
"28","Nada que perder","Pignoise"
"29","Eras tú","Merche"
"30","Despierta","Edurne"
"31","The hardest part","Coldplay"
"32","Satellites","September"
"33","Ardió mi memoria","Manolo García"
"34","Is it any wonder?","Keane"
"35","Idiota","Nena Daconte"
"36","La noche me resbala","Sr. Trepador"
"37","Behind these hazel eyes","Kelly Clarkson"
"38","Just feel better","Santana;Steven Tyler"
"39","Hung up","Madonna"
"40","Pieces of a dream","Anastacia"
