"","Song","Artist"
"1","El secreto de las tortugas","Maldita Nerea"
"2","Cry cry","Oceana"
"3","Love the way you lie","Eminem;Rihanna"
"4","Alejandro","Lady GaGa"
"5","Castillo de arena","El Pescao;Ana Cañas"
"6","Club can't handle me","Flo Rida;David Guetta"
"7","16 añitos","Dani Martín"
"8","We no speak americano",NA
"9","Nuestro amor será leyenda","Alejandro Sanz"
"10","Waka waka (Esto es África)","Shakira;Freshlyground"
"11","Barbie de extrarradio","Melendi"
"12","Need you now","Lady Antebellum"
"13","I like it","Enrique Iglesias"
"14","Only girl (In the world)","Rihanna"
"15","All the lovers","Kylie Minogue"
"16","Dj got us fallin' in love","Usher"
"17","Sick of love","Robert Ramírez"
"18","Dynamite","Taio Cruz"
"19","California gurls","Katy Perry"
"20","Replay","Iyaz"
"21","What do you got?","Bon Jovi"
"22","Sonrisa","Ana Torroja"
"23","Otra oportunidad","Preciados"
"24","Déjà vu","Inna;Bob Taylor;Play & Win"
"25","Cama vacía","Pignoise"
"26","Crossfire","Brandon Flowers"
"27","Get outta my way","Kylie Minogue"
"28","Teenage dream","Katy Perry"
"29","Perdido en la calle","Taxi"
"30","Break your heart","Taio Cruz"
"31","Dannayá","Dover"
"32","Take it off","Ke$ha"
"33","Hey, soul sister","Train"
"34","Bipolar","POL 3.14"
"35","Live your dreams","Soraya;Antoine Clamaran"
"36","In my head","Jason Derülo"
"37","Memories","David Guetta;Kid Cudi"
"38","Stereo love","Edward Maya;Molella"
"39","Nothin' on you","B.o.B;Bruno Mars"
"40","Gracias","Despistaos"
