"","Song","Artist"
"1","Colgando en tus manos","Carlos Baute;Marta Sánchez"
"2","Que te quería","La Quinta Estación"
"3","Peter Pan","El Canto del Loco"
"4","Disturbia","Rihanna"
"5","Beggin","Madcon"
"6","Quiero ser","Amaia Montero"
"7","This is the life","Amy MacDonald"
"8","Sígueme","Manuel Carrasco"
"9","I kissed a girl","Katy Perry"
"10","Human","The Killers"
"11","Womanizer","Britney Spears"
"12","Primavera anticipada (It is my song)","Laura Pausini;James Blunt"
"13","Perdóname","Amaral"
"14","The boy does nothing","Alesha Dixon"
"15","Te esperaré","Calle París"
"16","Broken strings","James Morrison;Nelly Furtado"
"17","Nunca tendré","Coti"
"18","Viva la vida","Coldplay"
"19","Infinity 2008","Guru Josh Project;Klaas"
"20","Hemicraneal","Estopa"
"21","Me arrepiento","Álex Ubago"
"22","If I were a boy","Beyoncé"
"23","Cuéntale","Conchita"
"24","Just dance","Lady GaGa;Colby O'Donis"
"25","El aleph","Nena Daconte"
"26","The man who can't be moved","The Script"
"27","You found me","The Fray"
"28","Piratas del bar Caribe","Melendi"
"29","My life would suck without you","Kelly Clarkson"
"30","Get on your boots","U2"
"31","Inmortal","La Oreja de Van Gogh"
"32","Shine on","R.I.O."
"33","Deseo que ya no puede ser","Nek"
"34","Stop and stare","OneRepublic"
"35","No me doy por vencido","Luis Fonsi"
"36","Ocho brazos para abrazarte","Los Peces"
"37","Better in time","Leona Lewis"
"38","Me gustas cuando","Lucas Masciano;El Canto del Loco"
"39","Libres","La Sonrisa de Julia"
"40","Palabras","Second"
