"","Song","Artist"
"1","Despacito","Luis Fonsi;Daddy Yankee"
"2","Shape of you","Ed Sheeran"
"3","La lluvia en los zapatos","Leiva"
"4","Sexual",NA
"5","Reggaetón lento (Bailemos)","CNCO"
"6","Rockabye","Clean Bandit;Anne-Marie;Sean Paul"
"7","Just hold on","Louis Tomlinson;Steve Aoki"
"8","Don't wanna know","Maroon 5;Kendrick Lamar"
"9","I feel it coming","The Weeknd;Daft Punk"
"10","Chained to the rhythm","Katy Perry;Skip Marley"
"11","Shed a light","David Guetta;Robin Schulz;Cheat Codes"
"12","By your side","Jonas Blue;Raye"
"13","Move your body (Single mix)","Sia"
"14","I don't wanna live forever","Zayn Malik;Taylor Swift"
"15","Castle on the hill","Ed Sheeran"
"16","Hey baby","Diplo;Dimitri Vegas & Like Mike;Deb's Daughter"
"17","Human","Rag'n'Bone Man"
"18","Don't you know","Kungs;Jamie N Commons"
"19","Tambores de guerra","Manuel Carrasco"
"20","Paris","The Chainsmokers;Emily Warren"
"21","París","Dani Martín"
"22","Dama y vagabundo","Bromas Aparte;Ana Mena"
"23","You're not there","Lukas Graham"
"24","Chantaje","Shakira;Maluma"
"25","Espectacular","Fangoria"
"26","Do it for your lover","Manel Navarro"
"27","Ácido","Miss Caffeina"
"28","Tuesday","Burak Yeter;Danelle Sandoval"
"29","Scared to be lonely","Dua Lipa;Martin Garrix"
"30","On hold","The xx"
"31","Aire",NA
"32","I got you","Bebe Rexha"
"33","24k magic","Bruno Mars"
"34","Cuando no me ves","Love of Lesbian"
"35","Good life","Sweet California"
"36","Not easy","Alex da Kid;Elle King;Wiz Khalifa;X Ambassadors"
"37","Safari","J Balvin;BIA;Pharrell Williams;Sky Rompiendo"
"38","Blow your mind (Mwah)","Dua Lipa"
"39","Let me love you","DJ Snake;Justin Bieber"
"40","Heathens","Twenty One Pilots"
