"","Song","Artist"
"1","One dance","Drake;Kyla;WizKid"
"2","Can't stop the feeling","Justin Timberlake"
"3","I took a pill in Ibiza (Explicit version)","Mike Posner;SeeB"
"4","Baila conmigo","Juan Magán;Luciana"
"5","Duele el corazón","Enrique Iglesias;Wisin"
"6","This is what you came for","Calvin Harris;Rihanna"
"7","No","Meghan Trainor"
"8","Work from home","Fifth Harmony;Ty Dolla $ign"
"9","Cómo te atreves","Morat"
"10","This one's for you","David Guetta;Zara Larsson"
"11","Cake by the ocean","DNCE"
"12","Ain't your mama","Jennifer López"
"13","Cheap thrills","Sia;Sean Paul"
"14","Las ganas","Dani Martín"
"15","Faded","Alan Walker;Iselin Solheim"
"16","7 Years","Lukas Graham"
"17","Send my love (To your new lover)","Adele"
"18","Who's loving you","Auryn;Anastacia"
"19","Stressed out","Twenty One Pilots"
"20","Close","Nick Jonas;Tove Lo"
"21","Hymn for the weekend","Coldplay;Beyoncé"
"22","Wherever I go","OneRepublic"
"23","Me, myself & I","G-Eazy;Bebe Rexha"
"24","Sofia","Álvaro Soler"
"25","Catch & release","Matt Simons;Deepend"
"26","Vuela corazón","Dasoul"
"27","Raging","Kygo;Kodaline"
"28","In common","Alicia Keys"
"29","Don't let me down","The Chainsmokers;Daya"
"30","Caos","Malú"
"31","Come","Jain"
"32","Light it up","Major Lazer;Fuse ODG;NYLA"
"33","Pequeña","Efecto Pasillo;Juan Magán"
"34","England skies (Papier remix)","Shake Shake Go"
"35","La tormenta","Sidecars"
"36","Fast car","Jonas Blue;Dakota"
"37","Love yourself","Justin Bieber"
"38","Good lovin' 2.0","Sweet California"
"39","Be the one","Dua Lipa"
"40","Mira como vuelo","Miss Caffeina"
