"","Song","Artist"
"1","1, 2, 3","Sofía Reyes;De la Ghetto;Jason Derülo"
"2","One kiss","Calvin Harris;Dua Lipa"
"3","La cintura","Álvaro Soler"
"4","A partir de hoy","David Bisbal;Sebastián Yatra"
"5","Flames","David Guetta;Sia"
"6","Mad love","Sean Paul;Becky G;David Guetta"
"7","These days","Rudimental;Dan Caplen;Jess Glynne;Macklemore"
"8","Leave a light on","Tom Walker"
"9","Lo malo","Aitana;Ana Guerra"
"10","Solo","Clean Bandit;Demi Lovato"
"11","Better now","Post Malone"
"12","Friends","Anne-Marie;marshmello"
"13","El préstamo","Maluma"
"14","Back to you","Selena Gomez"
"15","The middle","Maren Morris;Zedd;Grey"
"16","La llave","Pablo Alborán;Piso 21"
"17","No tears left to cry","Ariana Grande"
"18","Déjala que baile","Melendi;Alejandro Sanz;Arkano"
"19","Familiar","J Balvin;Liam Payne"
"20","Usted","Juan Magán;Mala Rodríguez"
"21","Fuego","Eleni Foureira"
"22","Belerofón","Taburete"
"23","Gira",NA
"24","Never be the same","Camila Cabello"
"25","Dieciocho","Dani Martín"
"26","Ya es hora",NA
"27","In my blood","Shawn Mendes"
"28","Te esperaré toda la vida","Dani Fernández"
"29","Idgaf","Dua Lipa"
"30","Él no soy yo","Blas Cantó"
"31","Superhéroes","Bombai"
"32","Happier","Ed Sheeran"
"33","Hey hey","Maico"
"34","Spinning over you","REYKO"
"35","Clandestino","Maluma;Shakira"
"36","Qué tienes tú","Dvicio;Mau y Ricky;Reik"
"37","Déjala que vuelva","Piso 21;Manuel Turizo"
"38","Meant to be","Bebe Rexha;Florida Georgia Line"
"39","X","J Balvin;Nicky Jam"
"40","Échame la culpa","Luis Fonsi;Demi Lovato"
