"","Song","Artist"
"1","Ho hey","The Lumineers"
"2","No importa que llueva","Efecto Pasillo"
"3","Tu jardín con enanitos","Melendi"
"4","Feel this moment","Pitbull;Christina Aguilera"
"5","Viven","Rasel;Jadel"
"6","Try","P!nk"
"7","Heartbreaker","Auryn"
"8","Impossible","James Arthur"
"9","Stay","Rihanna;Mikky Ekko"
"10","Hall of fame","The Script;Will.I.Am"
"11","Vuelvo a verte","Malú;Pablo Alborán"
"12","I knew you were trouble","Taylor Swift"
"13","When I was your man","Bruno Mars"
"14","Kiss you","One Direction"
"15","Scream & shout","Will.I.Am;Britney Spears"
"16","It's time","Imagine Dragons"
"17","Little talks","Of Monsters and Men"
"18","Con fuego","Soraya;Aqeelion"
"19","Turn around","Conor Maynard;Ne-Yo"
"20","El beso","Pablo Alborán"
"21","I could be the one","Avicii;Nicky Romero"
"22","Disparé","Nena Daconte"
"23","Don't you worry child","Swedish House Mafia;John Martin"
"24","Boytoy","Angy"
"25","Locked out of heaven","Bruno Mars"
"26","Because we can","Bon Jovi"
"27","Brand new me","Alicia Keys"
"28","Just give me a reason","P!nk;Nate Ruess"
"29","Prisoners","Carlos Jean;DJ Nano;Antonio Ferrara"
"30","Thrift shop","Macklemore & Ryan Lewis;Wanz"
"31","Mirrors","Justin Timberlake"
"32","Sol","Macaco"
"33","Quién","Pablo Alborán"
"34","Unbreakable","Marien Baker;Shaun Frank"
"35","Turn on the radio","Xuso Jones"
"36","Troublemaker","Olly Murs;Flo Rida"
"37","Me enamoré (Feeling of love)","XRIZ"
"38","Don't stop the dancing (Video edit)","Manian;Carlprit"
"39","Otra vez me has sacado a bailar","La Oreja de Van Gogh"
"40","Die young","Ke$ha"
