"","Song","Artist"
"1","Hello","Adele"
"2","How deep is your love","Calvin Harris;Disciples"
"3","El mismo sol (Under the same sun) (Spanglish version)","Álvaro Soler;Jennifer López"
"4","What do you mean?","Justin Bieber"
"5","Locked away","R. City;Adam Levine"
"6","Alive","Sia"
"7","Ginza","J Balvin"
"8","Reality","Lost Frequencies;Janieck Devy"
"9","Can't feel my face","The Weeknd"
"10","Adventure of a lifetime","Coldplay"
"11","On my mind","Ellie Goulding"
"12","Photograph","Ed Sheeran"
"13","Runnin' (Lose it all)","Naughty Boy;Arrow Benjamin;Beyoncé"
"14","Electric","Auryn"
"15","Quiero","Malú"
"16","Marvin Gaye","Charlie Puth;Meghan Trainor"
"17","Ain't nobody (Loves me better)","Felix Jaehn;Jasmine Thompson"
"18","Vuelve","Juan Magán;DCS;Paulina Rubio"
"19","Back it up (Spanish version)","Prince Royce;Jennifer López;Pitbull"
"20","Hula hoop","OMI"
"21","Stole the show","Kygo;Parson James"
"22","Goodbye","Feder;Lyse"
"23","Lean on","Major Lazer;DJ Snake;MØ"
"24","Perfect","One Direction"
"25","Tu enemigo","Pablo López;Juanes"
"26","Old school","Abraham Mateo"
"27","Fight song","Rachel Platten"
"28","Don't worry","Madcon;Ray Dalton"
"29","Supergirl","Anna Naklab;Alle Farben;Younotus"
"30","La escalera","Pablo Alborán"
"31","Easy love","Sigala"
"32","Capitán Tapón","Alejandro Sanz"
"33","Down with ya","Sweet California;Madcon"
"34","The one I want","Electric Nana"
"35","Shut up and dance","Walk the Moon"
"36","La gozadera","Gente de Zona;Marc Anthony"
"37","I don't like it, I love it","Flo Rida;Robin Thicke;Verdine White"
"38","Headlights","Robin Schulz;Ilsey"
"39","Don't be so hard on yourself","Jess Glynne"
"40","Come and get it","John Newman"
