"","Song","Artist"
"1","Dance again","Jennifer López;Pitbull"
"2","Payphone","Maroon 5;Wiz Khalifa"
"3","Euphoria","Loreen"
"4","Call me maybe","Carly Rae Jepsen"
"5","We are young","Fun.;Janelle Monaé"
"6","Tacatá","Tacabro"
"7","Somebody that I used to know","Gotye;Kimbra"
"8","Rayos de sol","Jose de Rico & Henry Méndez"
"9","Drive by","Train"
"10","Balada","Gusttavo Lima"
"11","Starships","Nicki Minaj"
"12","Pan y mantequilla","Efecto Pasillo"
"13","Boys will be boys","Paulina Rubio"
"14","Me pones tierno","Rasel;Carlos Baute"
"15","Stronger (What doesn't kill you)","Kelly Clarkson"
"16","No me compares","Alejandro Sanz"
"17","Generation","Carlos Jean;Alex Ayora;Dans Swanz;Lucía Scansetti;Sweet Ross"
"18","No hay 2 sin 3 (Gol)","Cali y Dandee;David Bisbal"
"19","Don't give up my game","Auryn"
"20","Te he echado de menos","Pablo Alborán"
"21","Scream","Usher"
"22","En el mundo genial de las cosas que dices","Maldita Nerea"
"23","Timebomb","Kylie Minogue"
"24","Princess of China","Coldplay;Rihanna"
"25","Lady (Spanglish version)","Crossfire"
"26","Última noche en la tierra","La Musicalité"
"27","Love is the only way","Macaco"
"28","Part of me","Katy Perry"
"29","Whistle","Flo Rida"
"30","Se vuelve loca","Juan Magán"
"31","She doesn't mind","Sean Paul"
"32","Addicted to you (Arbadel re-work mix)","Shakira"
"33","Día cero","La Oreja de Van Gogh"
"34","Summer paradise","Simple Plan;Sean Paul"
"35","Yo te esperaré","Cali y Dandee"
"36","Me quedaré","Estopa"
"37","Real woman","Chila Lynn"
"38","Wild ones","Flo Rida;Sia"
"39","Dejarse la piel","Lagarto Amarillo"
"40","International love","Pitbull;Chris Brown"
