"","Song","Artist"
"1","Tabú","Ava Max;Pablo Alborán"
"2","Dance monkey","Tones and I"
"3","Ritmo (Bad boys for life)","J Balvin;The Black Eyed Peas"
"4","Si por mí fuera","Beret"
"5","Don't start now","Dua Lipa"
"6","La mentira","Dani Martín"
"7","+","Aitana;Cali y El Dandee"
"8","Memories","Maroon 5"
"9","Yo x ti tú x mí","Ozuna;Rosalía"
"10","Dosis","ChocQuibTown;Dvicio;Reik"
"11","A dónde vamos","Morat"
"12","Tutu","Camilo;Pedro Capó"
"13","Indeciso","J Balvin;Lalo Ebratt;Reik"
"14","Liar","Camila Cabello"
"15","Torn","Ava Max"
"16","Only human","Jonas Brothers"
"17","Beautiful people","Ed Sheeran;Khalid"
"18","Atrapado","Estopa"
"19","Mala santa","Becky G"
"20","Roxanne",NA
"21","Nuestro tiempo","Amaral"
"22","Caída libre","Vanesa Martín"
"23","South of the border","Ed Sheeran;Camila Cabello"
"24","Me quedo",NA
"25","Yummy","Justin Bieber"
"26","Lie","Lukas Graham"
"27","Adore you","Harry Styles"
"28","Soldadito de hierro","Nil Moliner;Dani Fernández"
"29","Me gusta","Anuel AA;Shakira"
"30","Ride it",NA
"31","Qué bonito es querer","Manuel Carrasco"
"32","Blinding lights","The Weeknd"
"33","Casi","Melendi"
"34","Mother","Charlie Puth"
"35","Mama no","Pablo López"
"36","Piece of your heart","MEDUZA;Goodboys"
"37","Orphans","Coldplay"
"38","Circles","Post Malone"
"39","Superpoderes","Leiva"
"40","How do you sleep?","Sam Smith"
