"","Song","Artist"
"1","I don't care","Ed Sheeran;Justin Bieber"
"2","Say my name","Bebe Rexha;David Guetta;J Balvin"
"3","High hopes","Panic! at the Disco"
"4","Con altura","El Guincho;J Balvin;Rosalía"
"5","Sucker","Jonas Brothers"
"6","5 sentidos","Dvicio;Taburete"
"7","Sweet but psycho","Ava Max"
"8","Presiento","Aitana;Morat"
"9","ME!","Taylor Swift;Brendon Urie"
"10","Calma (Alicia remix)","Alicia Keys;Farruko;Pedro Capó"
"11","Speechless","Robin Schulz;Erika Sirola"
"12","R.I.P.","Anitta;Rita Ora;Sofía Reyes"
"13","Mujer bruja","Mala Rodríguez;Lola Índigo"
"14","Dancing with a stranger","Sam Smith;Normani"
"15","No te preocupes por mí","Leiva"
"16","Don't call me up","Mabel"
"17","Walk me home","P!nk"
"18","Close to me","Diplo;Ellie Goulding;Swae Lee"
"19","Fading","Alle Farben;ILIRA"
"20","Te echo de menos","Beret"
"21","No te enamores","Efecto Pasillo"
"22","Swing","Danny Ocean"
"23","HP","Maluma"
"24","Bajito","Ana Guerra"
"25","Vuela (Beach pop)","Bombai"
"26","Mi persona favorita","Alejandro Sanz;Camila Cabello"
"27","Love someone","Lukas Graham"
"28","Pa' dentro","Ana Mena;Sean Kingston"
"29","Obsessed",NA
"30","Bailo la pena","Macaco"
"31","Mares igual que tú","Amaral"
"32","Giant","Calvin Harris;Rag'n'Bone Man"
"33","Merlí","Miss Caffeina"
"34","Disparos","Dani Fernández"
"35","Guay","Sweet California"
"36","Nothing breaks like a heart","Mark Ronson;Miley Cyrus"
"37","Lo siento","Beret"
"38","Déjame ser","Manuel Carrasco"
"39","Don't worry bout me","Zara Larsson"
"40","No volveré (A seguir tus pasos)","Blas Cantó"
