"","Song","Artist"
"1","Un violinista en tu tejado","Melendi"
"2","Peter Pan","El Canto del Loco"
"3","Tenía tanto que darte","Nena Daconte"
"4","No dudaría","Rosario"
"5","El último vals","La Oreja de Van Gogh"
"6","I kissed a girl","Katy Perry"
"7","Tarde de domingo rara","Amaral"
"8","Quiero un camino","Taxi;Álvaro Urquijo"
"9","Viva la vida","Coldplay"
"10","Pretendo hablarte","Beatriz Luengo"
"11","Por mi tripa","Pereza"
"12","S.O.S.","Jonas Brothers"
"13","Retales de una vida","Celtas Cortos"
"14","Superwoman","Alicia Keys"
"15","Hemicraneal","Estopa"
"16","Back to black","Amy Winehouse"
"17","Quiero ser","Amaia Montero"
"18","Tiempo pequeño","Revólver"
"19","Rise up","Yves Larock"
"20","The man who can't be moved","The Script"
"21","I can feel you","Anastacia"
"22","Ella elle l'a","Kate Ryan"
"23","If I were a boy","Beyoncé"
"24","Hay muy poca gente","Bunbury"
"25","Stop and stare","OneRepublic"
"26","The lovers are losing","Keane"
"27","Love, love, love","James Blunt"
"28","Better in time","Leona Lewis"
"29","Mercy","Duffy"
"30","Poco a poco","The Cabriolets"
"31","Odio por amor","Juanes"
"32","4 minutes","Madonna;Justin Timberlake;Timbaland"
"33","No estamos solos","Eros Ramazzotti;Ricky Martin"
"34","Greatest day","Take That"
"35","Diary of a smoker","The Monomes"
"36","Hacer por hacer","Miguel Bosé;Gloria Gaynor"
"37","I'll be waiting","Lenny Kravitz"
"38","Walking away","Craig David;Álex Ubago"
"39","Lo que quiero, lo que soy","Sr. Trepador"
"40","Si no te hubieras ido","Maná"
