"","Song","Artist"
"1","What lovers do","Maroon 5;SZA"
"2","Perfect duet","Ed Sheeran;Beyoncé"
"3","Échame la culpa","Luis Fonsi;Demi Lovato"
"4","Havana","Camila Cabello;Young Thug"
"5","How long","Charlie Puth"
"6","Wolves","Selena Gomez;marshmello"
"7","New rules","Dua Lipa"
"8","Dusk till dawn","Zayn Malik;Sia"
"9","Besos en guerra","Morat;Juanes"
"10","Tip toe","Jason Derülo;French Montana"
"11","Perro fiel","Shakira;Nicky Jam"
"12","Anywhere","Rita Ora"
"13","Too good at goodbyes","Sam Smith"
"14","Rockstar","Post Malone;21 Savage"
"15","All falls down","Alan Walker;Digital Farm Animals;Noah Cyrus"
"16","No vaya a ser","Pablo Alborán"
"17","Stargazing","Kygo;Justin Jesso"
"18","Hábito de ti","Vanesa Martín"
"19","Feel it still","Portugal. The Man"
"20","Guerrera","C. Tangana;Dellafuente"
"21","Corazón","Maluma;Nego do Borel"
"22","Good girls don't lie","Ruth Lorenzo"
"23","Katchi","Nick Waterhouse;Ofenbach"
"24","La llamada","Leiva"
"25","Bedroom floor","Liam Payne"
"26","Mentira","Ana Mena;RK"
"27","El patio","Pablo López"
"28","Silence","marshmello;Khalid"
"29","Déjate llevar","Juan Magán;B-Case;Belinda;Manuel Turizo;Snova"
"30","Invisible","Malú"
"31","Grace (We all try)","Rag'n'Bone Man"
"32","Tu mejor pesadilla","Sidecars"
"33","Dirty sexy money","Afrojack;David Guetta;Charli XCX;French Montana"
"34","Saturno","Pablo Alborán"
"35","Rain","The Script"
"36","Salvajes irracionales","Efecto Pasillo"
"37","So far away","David Guetta;Martin Garrix;Jamie Scott;Romy Dya"
"38","You're the best thing about me","U2"
"39","Mi gente","J Balvin;Willy William"
"40","Ok","Robin Schulz;James Blunt"
