"","Song","Artist"
"1","La niña que llora en tus fiestas","La Oreja de Van Gogh"
"2","Bailando por ahí","Juan Magán"
"3","Rain over me","Pitbull;Marc Anthony"
"4","Moves like Jagger","Maroon 5;Christina Aguilera"
"5","Danza Kuduro","Don Omar;Lucenzo"
"6","Last friday night (T.G.I.F)","Katy Perry"
"7","I'm into you","Jennifer López;Lil Wayne"
"8","Gimme the base (DJ)","Carlos Jean;Mandy Santos"
"9","The lazy song","Bruno Mars"
"10","Give me everything","Pitbull;Afrojack;Nayer;Ne-Yo"
"11","Erase you","André Olà;Heléne"
"12","¿No podíamos ser agua?","Maldita Nerea"
"13","The edge of glory","Lady GaGa"
"14","Till the world ends","Britney Spears"
"15","Sweat","Snoop Dogg;David Guetta"
"16","Rolling in the deep","Adele"
"17","Party rock anthem","LMFAO;GoonRock;Laurent Bennet"
"18","Price tag","Jessie J;B.o.B"
"19","Don't wanna go home","Jason Derülo"
"20","Stand","Lenny Kravitz"
"21","Glad you came","The Wanted"
"22","Best thing I never had","Beyoncé"
"23","Bumpy ride","Mohombi"
"24","I wanna go","Britney Spears"
"25","Got 2 luv u","Sean Paul;Alexis Jordan"
"26","Where them girls at","David Guetta;Flo Rida;Nicki Minaj"
"27","Dirty dancer","Enrique Iglesias;Lil Wayne;Nayer;Usher"
"28","Get together","Marta Sánchez;Dmol"
"29","Mi lamento","Dani Martín"
"30","Coconut tree","Mohombi;Nicole Scherzinger"
"31","S&M","Rihanna"
"32","La luna va y viene","El Pescao"
"33","Caminando","Amaia Montero"
"34","Just can't get enough","The Black Eyed Peas"
"35","Fácil","Maldita Nerea"
"36","On the floor","Jennifer López;Pitbull"
"37","Hello","Martin Solveig;Dragonette"
"38","Soledad en mí","La Musicalité"
"39","Judas","Lady GaGa"
"40","Amor clandestino","Maná"
