"","Song","Artist"
"1","Fuego","Eleni Foureira"
"2","Déjala que baile","Melendi;Alejandro Sanz;Arkano"
"3","Leave a light on","Tom Walker"
"4","One kiss","Calvin Harris;Dua Lipa"
"5","Teléfono","Aitana"
"6","Solo","Clean Bandit;Demi Lovato"
"7","La llave","Pablo Alborán;Piso 21"
"8","Usted","Juan Magán;Mala Rodríguez"
"9","Ni la hora","Ana Guerra;Juan Magán"
"10","La cintura","Álvaro Soler"
"11","Girls like you","Maroon 5;Cardi B"
"12","Flames","David Guetta;Sia"
"13","Gira",NA
"14","Clandestino","Maluma;Shakira"
"15","1, 2, 3","Sofía Reyes;De la Ghetto;Jason Derülo"
"16","Contradicción","Malú"
"17","Te esperaré toda la vida","Dani Fernández"
"18","Back to you","Selena Gomez"
"19","Qué tienes tú","Dvicio;Mau y Ricky;Reik"
"20","I like it","Cardi B;Bad Bunny;J Balvin"
"21","No es justo","J Balvin;Zion & Lennox"
"22","Rise","Jonas Blue;Jack & Jack"
"23","Mad love","Sean Paul;Becky G;David Guetta"
"24","A partir de hoy","David Bisbal;Sebastián Yatra"
"25","Cuando nadie ve","Morat"
"26","Better now","Post Malone"
"27","These days","Rudimental;Dan Caplen;Jess Glynne;Macklemore"
"28","2002","Anne-Marie"
"29","In my mind","Dynoro;Gigi D'Agostino"
"30","Ya es hora",NA
"31","Amasijo de huesos","Sidecars"
"32","Happier","Ed Sheeran"
"33","Lo siento","Beret"
"34","Friends","Anne-Marie;marshmello"
"35","Él no soy yo","Blas Cantó"
"36","Never be the same","Camila Cabello"
"37","Lo malo","Aitana;Ana Guerra"
"38","Belerofón","Taburete"
"39","Shotgun","George Ezra"
"40","Superhéroes","Bombai"
