"","Song","Artist"
"1","All about that bass","Meghan Trainor"
"2","Blame","Calvin Harris;John Newman"
"3","Dangerous","David Guetta;Sam Martin"
"4","Chandelier","Sia"
"5","Steal my girl","One Direction"
"6","Shake it off","Taylor Swift"
"7","Por fin","Pablo Alborán"
"8","Noche y de día","Enrique Iglesias;Juan Magán;Yandel"
"9","Tocado y hundido","Melendi"
"10","Break free","Ariana Grande;Zedd"
"11","The days","Avicii"
"12","Liar liar","Cris Cab"
"13","Don't","Ed Sheeran"
"14","Bang bang","Jessie J;Ariana Grande;Nicki Minaj"
"15","Entre la espada y la pared","Fito & Fitipaldis"
"16","Habits (Stay high)","Tove Lo;Hippie Sabotage"
"17","Marry me","Jason Derülo"
"18","Fireball","Pitbull;John Ryan"
"19","Stay with me","Sam Smith"
"20","Geronimo","Sheppard"
"21","Good time","Inna;Pitbull"
"22","Changing","Sigma;Paloma Faith"
"23","Shower","Becky G"
"24","On our way","The Royal Concept"
"25","Wrapped up","Olly Murs;Travie McCoy"
"26","People help the people","Birdy"
"27","Boom clap","Charli XCX"
"28","Cool kids","Echosmith"
"29","I bet my life","Imagine Dragons"
"30","Desaparecer","Malú"
"31","Aire","Antonio Orozco"
"32","Oh Cecilia (Breaking my heart)","The Vamps;Shawn Mendes"
"33","Saturday I'm in love","Auryn"
"34","Sí pero no","David Bisbal"
"35","Justo ahora","Dvicio"
"36","Bad girl","Lucy Paradise"
"37","Maverick","Albert Neve;Les Castizos;Robbie Wulfsohn"
"38","Los cantantes","Leiva"
"39","Comprende (It's over)","Sweet California"
"40","The miracle (of Joey Ramone)","U2"
