"","Song","Artist"
"1","Tanto","Pablo Alborán"
"2","Set fire to the rain","Adele"
"3","Diamonds","Rihanna"
"4","We are never ever getting back together","Taylor Swift"
"5","Girl on fire","Alicia Keys"
"6","Wide awake","Katy Perry"
"7","Lágrimas desordenadas","Melendi"
"8","Te voy a esperar","Juan Magán;Belinda"
"9","Don't give up my game","Auryn"
"10","Candy","Robbie Williams"
"11","Se vende","Alejandro Sanz"
"12","Whistle","Flo Rida"
"13","Live while we're young","One Direction"
"14","Don't stop the party","Pitbull;TJR"
"15","This is love","Will.I.Am;Eva Simons"
"16","Locked out of heaven","Bruno Mars"
"17","Noche de estrellas","Jose de Rico & Henry Méndez;Jay Santos"
"18","Pan y mantequilla","Efecto Pasillo"
"19","One more night","Maroon 5"
"20","Celebrating life","Xuso Jones"
"21","Call me maybe","Carly Rae Jepsen"
"22","Finally found you","Enrique Iglesias;Sammy Adams"
"23","My heart is refusing me","Loreen"
"24","Die young","Ke$ha"
"25","Gangnam style","PSY"
"26","Don't wake me up","Chris Brown"
"27","Culpable","Lagarto Amarillo"
"28","Celebrate","Mika;Pharrell Williams"
"29","La respuesta no es la huida","Maldita Nerea"
"30","Drive by","Train"
"31","Hall of fame","The Script;Will.I.Am"
"32","Blow me (One last kiss)","P!nk"
"33","We are young","Fun.;Janelle Monaé"
"34","Empanados","Estopa"
"35","Somebody that I used to know","Gotye;Kimbra"
"36","Lo que pueda ser","La Musicalité"
"37","Chasing the sun","The Wanted"
"38","Summer paradise","Simple Plan;Sean Paul"
"39","Scream","Usher"
"40","Última noche en la tierra","La Musicalité"
