"","Song","Artist"
"1","Thinking out loud","Ed Sheeran"
"2","Take me to church","Hozier"
"3","Uptown funk","Mark Ronson;Bruno Mars"
"4","Animals","Maroon 5"
"5","Fade out lines","The Avener"
"6","Outside","Calvin Harris;Ellie Goulding"
"7","Dangerous","David Guetta;Sam Martin"
"8","Lips are movin","Meghan Trainor"
"9","The nights","Avicii"
"10","I'm not the only one","Sam Smith"
"11","Tocado y hundido","Melendi"
"12","Sun goes down","Robin Schulz;Jasmine Thompson"
"13","Habits (Stay high)","Tove Lo;Hippie Sabotage"
"14","Blank space","Taylor Swift"
"15","Saturday I'm in love","Auryn"
"16","People help the people","Birdy"
"17","Elastic heart","Sia"
"18","I bet my life","Imagine Dragons"
"19","Riptide","Vance Joy"
"20","Perdona si te llamo amor","Maldita Nerea"
"21","Where did you go?","Midnight Red"
"22","Pasos de cero","Pablo Alborán"
"23","Chandelier","Sia"
"24","Night changes","One Direction"
"25","Something I need","Ben Haenow"
"26","Cool kids","Echosmith"
"27","Break free","Ariana Grande;Zedd"
"28","Stay with me","Sam Smith"
"29","Something big","Shawn Mendes"
"30","Hijos de un mismo Dios","Macaco"
"31","Love me like you do","Ellie Goulding"
"32","Muévelo","Sofía Reyes;Wisin"
"33","Lo que sobra de mí","Fito & Fitipaldis"
"34","Girls in luv","DJane Housekat;Rameez"
"35","Enamorate","Dvicio"
"36","All about that bass","Meghan Trainor"
"37","Indigo","Sweet California"
"38","Heartbeat song","Kelly Clarkson"
"39","Wrapped up","Olly Murs;Travie McCoy"
"40","The days","Avicii"
