"","Song","Artist"
"1","Shape of you","Ed Sheeran"
"2","Despacito","Luis Fonsi;Daddy Yankee"
"3","Rockabye","Clean Bandit;Anne-Marie;Sean Paul"
"4","Don't wanna know","Maroon 5;Kendrick Lamar"
"5","Reggaetón lento (Bailemos)","CNCO"
"6","Human","Rag'n'Bone Man"
"7","La lluvia en los zapatos","Leiva"
"8","Just hold on","Louis Tomlinson;Steve Aoki"
"9","Sexual",NA
"10","I don't wanna live forever","Zayn Malik;Taylor Swift"
"11","Shed a light","David Guetta;Robin Schulz;Cheat Codes"
"12","Chantaje","Shakira;Maluma"
"13","Castle on the hill","Ed Sheeran"
"14","By your side","Jonas Blue;Raye"
"15","I feel it coming","The Weeknd;Daft Punk"
"16","24k magic","Bruno Mars"
"17","París","Dani Martín"
"18","Hey baby","Diplo;Dimitri Vegas & Like Mike;Deb's Daughter"
"19","Don't you know","Kungs;Jamie N Commons"
"20","On hold","The xx"
"21","Move your body","Sia"
"22","Cuando no me ves","Love of Lesbian"
"23","Ácido","Miss Caffeina"
"24","Not easy","Alex da Kid;Elle King;Wiz Khalifa;X Ambassadors"
"25","Dama y vagabundo","Bromas Aparte;Ana Mena"
"26","I got you","Bebe Rexha"
"27","Tambores de guerra","Manuel Carrasco"
"28","Espectacular","Fangoria"
"29","Blow your mind (Mwah)","Dua Lipa"
"30","You're not there","Lukas Graham"
"31","Good life","Sweet California"
"32","París","The Chainsmokers;Emily Warren"
"33","Do it for your lover","Manel Navarro"
"34","Lost on you","LP"
"35","Tuesday","Burak Yeter;Danelle Sandoval"
"36","Safari","J Balvin;BIA;Pharrell Williams;Sky Rompiendo"
"37","Starboy","The Weeknd;Daft Punk"
"38","Antes que no","David Bisbal"
"39","Let me love you","DJ Snake;Justin Bieber"
"40","Heathens","Twenty One Pilots"
