"","Song","Artist"
"1","Me enamora","Juanes"
"2","Ojala pudiera borrarte","Maná"
"3","Sueños rotos","La Quinta Estación"
"4","Monsoon","Tokio Hotel"
"5","No one","Alicia Keys"
"6","Todo irá bien","Chenoa"
"7","Déjame vivir","Jarabe de Palo;LaMari"
"8","Umbrella","Rihanna"
"9","1973","James Blunt"
"10","Nada que perder","Conchita"
"11","Relax, take it easy","Mika"
"12","Into the night",NA
"13","Papeles mojados","Chambao"
"14","Como la vida","Hanna"
"15","Soldier","Dover"
"16","Estrella polar","Pereza;Juan Aguirre"
"17","Demasiado tarde","El Sueño de Morfeo"
"18","All good things (Come to an end)","Nelly Furtado"
"19","Cuando me vaya","Melocos;Natalia Jiménez"
"20","Over my head (Cable car)","The Fray"
"21","Hot summer night (Oh la la la)","David Tavaré;2 Eivissa"
"22","Como un lobo","Miguel Bosé;Bimba Bosé"
"23","In my arms","Kylie Minogue"
"24","Sigo llorando por ti","Pignoise"
"25","Soulmate","Natasha Bedingfield"
"26","Won't go home without you","Maroon 5"
"27","Taking chances","Celine Dion"
"28","La cuestión","Antonio Orozco"
"29","Cada dos minutos","Despistaos"
"30","Para ti sería","Nek;El Sueño de Morfeo"
"31","Cal y arena","Merche"
"32","Si tú quisieras","Efecto Mariposa"
"33","Don't stop the music","Rihanna"
"34","When you're gone","Avril Lavigne"
"35","Say it right","Nelly Furtado"
"36","Bleeding love","Leona Lewis"
"37","Fuego en el fuego","Eros Ramazzotti;Santana"
"38","How to save a life","The Fray"
"39","Shame on you","Andrea Corr"
"40","(You want to) Make a memory","Bon Jovi"
