"","Song","Artist"
"1","Hey brother","Avicii;Dan Tyminski"
"2","Talk dirty","Jason Derülo;2 Chainz"
"3","Timber","Pitbull;Ke$ha"
"4","Animals","Martin Garrix"
"5","Royals","Lorde"
"6","Llegará","Antonio Orozco"
"7","The monster","Eminem;Rihanna"
"8","Can't remember to forget you","Shakira;Rihanna"
"9","Counting stars","OneRepublic"
"10","All night","Icona Pop"
"11","Do what u want","Lady GaGa;R. Kelly"
"12","Wrecking ball","Miley Cyrus"
"13","XO","Beyoncé"
"14","Story of my life","One Direction"
"15","Happy","Pharrell Williams"
"16","Terriblemente cruel","Leiva"
"17","Of the night","Bastille"
"18","Unconditionally","Katy Perry"
"19","Hard out here","Lily Allen"
"20","Adore you","Miley Cyrus"
"21","You're nobody 'til somebody loves you","James Arthur"
"22","Breathe your fire","Auryn"
"23","Hand on heart","Olly Murs;Edurne"
"24","A prueba de ti","Malú"
"25","Radioactive","Imagine Dragons"
"26","Burn","Ellie Goulding"
"27","Emocional","Dani Martín"
"28","Cheating","John Newman"
"29","Diez mil maneras","David Bisbal"
"30","Can't hold us","Macklemore & Ryan Lewis;Ray Dalton"
"31","Demons","Imagine Dragons"
"32","Plastic","Soraya"
"33","Into the blue","Kylie Minogue"
"34","Recovery","James Arthur"
"35","Live forever","Marien Baker;Shaun Frank"
"36","Qué bien se te ve","Mr. Kilombo"
"37","Love me again","John Newman"
"38","You make me","Avicii;Salem Al Fakir"
"39","Vi","Pablo López"
"40","Sha la la","María Sagana"
